izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         4.720683e-08    1.296000e+13    6.589149e-01    1.083177e+00    1.729336e-01    4.449280e-01    9.575498e-01    1.474877e+00    1.935497e+00    2.144617e+00    2.002459e+00    1.691645e+00    1.215203e+00    9.624310e-01    8.894652e-01    7.990726e-01    6.167600e-01
1         5.209976e-07    2.671834e+13    6.522559e-01    1.072473e+00    1.711744e-01    4.403981e-01    9.480332e-01    1.460435e+00    1.916717e+00    2.124033e+00    1.983336e+00    1.675541e+00    1.203654e+00    9.532866e-01    8.810146e-01    7.914813e-01    6.109013e-01
2         7.531176e-05    1.428710e+14    6.431154e-01    1.057781e+00    1.687595e-01    4.341801e-01    9.349702e-01    1.440611e+00    1.890939e+00    2.095779e+00    1.957087e+00    1.653435e+00    1.187800e+00    9.407346e-01    8.694149e-01    7.810612e-01    6.028593e-01
3         2.241859e-04    2.709158e+14    5.720740e-01    9.435852e-01    1.499906e-01    3.858531e-01    8.334428e-01    1.286538e+00    1.690586e+00    1.876182e+00    1.753075e+00    1.481628e+00    1.064581e+00    8.431788e-01    7.792599e-01    7.000740e-01    5.403555e-01
4         6.187699e-04    3.987533e+14    5.454559e-01    9.007981e-01    1.429582e-01    3.677457e-01    7.954022e-01    1.228809e+00    1.615517e+00    1.793903e+00    1.676634e+00    1.417254e+00    1.018413e+00    8.066262e-01    7.454803e-01    6.697295e-01    5.169364e-01
5         1.078353e-03    5.108314e+14    5.179940e-01    8.566544e-01    1.357029e-01    3.490643e-01    7.561556e-01    1.169250e+00    1.538068e+00    1.709015e+00    1.597771e+00    1.350840e+00    9.707813e-01    7.689148e-01    7.106298e-01    6.384229e-01    4.927747e-01
6         2.659219e-03    6.586790e+14    5.005341e-01    8.285886e-01    1.310900e-01    3.371869e-01    7.312031e-01    1.131384e+00    1.488827e+00    1.655045e+00    1.547631e+00    1.308615e+00    9.404978e-01    7.449384e-01    6.884724e-01    6.185186e-01    4.774132e-01
7         4.488850e-03    8.231155e+14    4.642149e-01    7.702075e-01    1.214946e-01    3.124802e-01    6.792984e-01    1.052615e+00    1.386399e+00    1.542778e+00    1.443331e+00    1.220780e+00    8.775036e-01    6.950641e-01    6.423817e-01    5.771149e-01    4.454588e-01
8         8.964167e-03    1.047168e+15    4.379991e-01    7.280668e-01    1.145685e-01    2.946465e-01    6.418325e-01    9.957588e-01    1.312465e+00    1.461742e+00    1.368046e+00    1.157380e+00    8.320332e-01    6.590638e-01    6.091125e-01    5.472288e-01    4.223935e-01
9         1.784998e-02    1.275264e+15    3.977744e-01    6.634078e-01    1.039413e-01    2.672830e-01    5.843463e-01    9.085203e-01    1.199022e+00    1.337404e+00    1.252531e+00    1.060100e+00    7.622650e-01    6.038263e-01    5.580655e-01    5.013727e-01    3.870030e-01
10        2.799012e-02    1.644365e+15    3.458977e-01    5.800186e-01    9.023567e-02    2.319930e-01    5.102077e-01    7.960109e-01    1.052718e+00    1.177047e+00    1.103555e+00    9.346407e-01    6.722867e-01    5.325878e-01    4.922314e-01    4.422333e-01    3.413607e-01
11        3.573537e-02    1.786406e+15    3.085181e-01    5.199328e-01    8.036012e-02    2.065650e-01    4.567874e-01    7.149425e-01    9.472986e-01    1.061502e+00    9.962097e-01    8.442410e-01    6.074528e-01    4.812569e-01    4.447946e-01    3.996203e-01    3.084731e-01
12        4.388573e-02    1.995840e+15    2.877426e-01    4.865371e-01    7.487133e-02    1.924321e-01    4.270964e-01    6.698845e-01    8.887063e-01    9.972817e-01    9.365467e-01    7.939963e-01    5.714178e-01    4.527269e-01    4.184290e-01    3.759358e-01    2.901940e-01
13        4.961839e-02    2.087078e+15    2.697633e-01    4.576360e-01    7.012127e-02    1.802015e-01    4.014014e-01    6.308906e-01    8.379994e-01    9.417040e-01    8.849130e-01    7.505134e-01    5.402322e-01    4.280363e-01    3.956115e-01    3.554386e-01    2.743749e-01
14        5.603555e-02    2.223936e+15    2.589022e-01    4.401770e-01    6.725183e-02    1.728131e-01    3.858793e-01    6.073346e-01    8.073675e-01    9.081295e-01    8.537211e-01    7.242453e-01    5.213929e-01    4.131207e-01    3.818275e-01    3.430562e-01    2.648185e-01
15        6.230036e-02    2.289254e+15    2.479991e-01    4.226503e-01    6.437128e-02    1.653962e-01    3.702970e-01    5.836870e-01    7.766163e-01    8.744240e-01    8.224073e-01    6.978745e-01    5.024800e-01    3.981468e-01    3.679895e-01    3.306255e-01    2.552247e-01
16        6.878357e-02    2.425075e+15    2.382854e-01    4.070351e-01    6.180498e-02    1.587884e-01    3.564143e-01    5.626182e-01    7.492181e-01    8.443932e-01    7.945073e-01    6.743785e-01    4.856288e-01    3.848052e-01    3.556600e-01    3.195498e-01    2.466768e-01
17        7.543748e-02    2.482099e+15    2.290749e-01    3.922285e-01    5.937161e-02    1.525229e-01    3.432505e-01    5.426403e-01    7.232384e-01    8.159169e-01    7.680513e-01    6.520986e-01    4.696497e-01    3.721541e-01    3.439687e-01    3.090473e-01    2.385712e-01
18        8.230894e-02    2.614810e+15    2.203507e-01    3.782024e-01    5.706676e-02    1.465883e-01    3.307809e-01    5.237146e-01    6.986258e-01    7.889378e-01    7.429857e-01    6.309893e-01    4.545101e-01    3.601675e-01    3.328915e-01    2.990965e-01    2.308915e-01
19        8.879927e-02    2.677018e+15    2.120021e-01    3.647797e-01    5.486118e-02    1.409094e-01    3.188480e-01    5.056026e-01    6.750711e-01    7.631175e-01    7.189965e-01    6.107863e-01    4.400204e-01    3.486956e-01    3.222898e-01    2.895729e-01    2.235414e-01
20        9.550118e-02    2.792102e+15    2.046875e-01    3.530182e-01    5.292876e-02    1.359339e-01    3.083922e-01    4.897316e-01    6.544298e-01    7.404898e-01    6.979729e-01    5.930807e-01    4.273218e-01    3.386417e-01    3.129986e-01    2.812265e-01    2.170999e-01
21        1.046808e-01    2.862605e+15    1.976518e-01    3.416870e-01    5.107045e-02    1.311502e-01    2.983233e-01    4.744288e-01    6.345115e-01    7.186347e-01    6.776586e-01    5.759679e-01    4.150467e-01    3.289228e-01    3.040170e-01    2.731582e-01    2.108729e-01
22        1.138890e-01    3.004646e+15    1.886604e-01    3.271933e-01    4.869587e-02    1.250382e-01    2.854474e-01    4.548466e-01    6.090121e-01    6.906419e-01    6.516335e-01    5.540414e-01    3.993176e-01    3.164690e-01    2.925079e-01    2.628194e-01    2.028936e-01
23        1.231733e-01    3.090701e+15    1.803218e-01    3.137317e-01    4.649417e-02    1.193723e-01    2.734934e-01    4.366454e-01    5.852936e-01    6.645824e-01    6.273963e-01    5.336164e-01    3.846639e-01    3.048664e-01    2.817854e-01    2.531871e-01    1.954595e-01
24        1.326445e-01    3.216154e+15    1.727023e-01    3.013397e-01    4.448440e-02    1.142052e-01    2.625117e-01    4.198293e-01    5.633012e-01    6.403208e-01    6.047892e-01    5.145433e-01    3.709721e-01    2.940242e-01    2.717654e-01    2.441856e-01    1.885120e-01
25        1.448927e-01    3.319834e+15    1.654856e-01    2.895793e-01    4.258141e-02    1.093139e-01    2.520955e-01    4.038549e-01    5.423895e-01    6.172265e-01    5.832590e-01    4.963735e-01    3.579266e-01    2.836934e-01    2.622180e-01    2.356087e-01    1.818922e-01
26        1.572242e-01    3.453581e+15    1.568379e-01    2.754637e-01    4.030161e-02    1.034554e-01    2.395989e-01    3.846658e-01    5.172499e-01    5.894382e-01    5.573424e-01    4.744963e-01    3.422174e-01    2.712529e-01    2.507208e-01    2.252801e-01    1.739203e-01
27        1.697169e-01    3.602880e+15    1.489421e-01    2.624594e-01    3.822266e-02    9.811925e-02    2.281144e-01    3.669110e-01    4.938908e-01    5.634957e-01    5.330950e-01    4.540015e-01    3.274911e-01    2.595892e-01    2.399412e-01    2.155959e-01    1.664455e-01
28        1.823643e-01    3.683750e+15    1.417609e-01    2.505254e-01    3.633430e-02    9.327811e-02    2.176010e-01    3.505476e-01    4.722728e-01    5.393761e-01    5.105045e-01    4.348832e-01    3.137449e-01    2.487004e-01    2.298777e-01    2.065547e-01    1.594668e-01
29        1.907107e-01    3.827866e+15    1.351078e-01    2.393730e-01    3.458700e-02    8.880378e-02    2.077989e-01    3.351935e-01    4.519088e-01    5.165575e-01    4.890912e-01    4.167401e-01    3.006922e-01    2.383596e-01    2.203204e-01    1.979682e-01    1.528387e-01
30        1.993106e-01    3.869338e+15    1.310599e-01    2.325380e-01    3.352501e-02    8.608703e-02    2.018034e-01    3.257517e-01    4.393458e-01    5.024308e-01    4.758136e-01    4.054796e-01    2.925872e-01    2.319379e-01    2.143852e-01    1.926357e-01    1.487224e-01
31        2.077098e-01    3.982349e+15    1.271476e-01    2.258955e-01    3.249944e-02    8.346544e-02    1.959852e-01    3.165523e-01    4.270758e-01    4.885971e-01    4.627963e-01    3.944322e-01    2.846327e-01    2.256351e-01    2.085597e-01    1.874017e-01    1.446821e-01
32        2.161876e-01    4.035226e+15    1.235264e-01    2.197161e-01    3.155090e-02    8.104244e-02    1.905800e-01    3.079745e-01    4.156097e-01    4.756393e-01    4.505905e-01    3.840669e-01    2.771670e-01    2.197191e-01    2.030918e-01    1.824889e-01    1.408896e-01
33        2.247936e-01    4.130611e+15    1.200681e-01    2.137850e-01    3.064568e-02    7.873172e-02    1.853988e-01    2.997227e-01    4.045562e-01    4.631192e-01    4.387849e-01    3.740356e-01    2.699395e-01    2.139916e-01    1.977980e-01    1.777325e-01    1.372178e-01
34        2.333907e-01    4.186598e+15    1.167266e-01    2.080273e-01    2.977166e-02    7.650211e-02    1.803754e-01    2.916952e-01    3.937816e-01    4.508889e-01    4.272420e-01    3.642219e-01    2.628670e-01    2.083866e-01    1.926173e-01    1.730777e-01    1.336244e-01
35        2.420309e-01    4.287168e+15    1.135490e-01    2.025262e-01    2.894108e-02    7.438473e-02    1.755818e-01    2.840093e-01    3.834454e-01    4.391319e-01    4.161355e-01    3.547741e-01    2.560562e-01    2.029887e-01    1.876281e-01    1.685948e-01    1.301636e-01
36        2.507676e-01    4.349376e+15    1.105086e-01    1.972392e-01    2.814691e-02    7.236142e-02    1.709802e-01    2.766080e-01    3.734736e-01    4.277671e-01    4.053904e-01    3.456291e-01    2.494620e-01    1.977621e-01    1.827972e-01    1.642541e-01    1.268126e-01
37        2.646089e-01    4.459277e+15    1.075829e-01    1.921293e-01    2.738320e-02    7.041694e-02    1.665378e-01    2.694408e-01    3.638000e-01    4.167214e-01    3.949384e-01    3.367292e-01    2.430430e-01    1.926742e-01    1.780944e-01    1.600285e-01    1.235504e-01
