izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         4.720683e-08    4.320000e+12    5.930234e+00    9.748597e+00    1.556403e+00    4.004352e+00    8.617948e+00    1.327389e+01    1.741947e+01    1.930155e+01    1.802213e+01    1.522480e+01    1.093683e+01    8.661879e+00    8.005187e+00    7.191654e+00    5.550840e+00
1         5.209976e-07    8.906112e+12    5.870303e+00    9.652261e+00    1.540569e+00    3.963583e+00    8.532298e+00    1.314392e+01    1.725045e+01    1.911630e+01    1.785003e+01    1.507987e+01    1.083288e+01    8.579579e+00    7.929131e+00    7.123332e+00    5.498111e+00
2         7.531176e-05    4.762368e+13    5.788038e+00    9.520025e+00    1.518835e+00    3.907621e+00    8.414732e+00    1.296550e+01    1.701845e+01    1.886201e+01    1.761378e+01    1.488092e+01    1.069020e+01    8.466612e+00    7.824734e+00    7.029551e+00    5.425733e+00
3         2.241859e-04    9.030528e+13    5.148666e+00    8.492267e+00    1.349915e+00    3.472678e+00    7.500986e+00    1.157884e+01    1.521527e+01    1.688564e+01    1.577767e+01    1.333465e+01    9.581229e+00    7.588609e+00    7.013339e+00    6.300666e+00    4.863199e+00
4         6.187699e-04    1.329178e+14    4.909103e+00    8.107182e+00    1.286624e+00    3.309711e+00    7.158620e+00    1.105928e+01    1.453965e+01    1.614513e+01    1.508971e+01    1.275529e+01    9.165717e+00    7.259636e+00    6.709323e+00    6.027565e+00    4.652427e+00
5         1.078353e-03    1.702771e+14    4.661946e+00    7.709890e+00    1.221326e+00    3.141579e+00    6.805400e+00    1.052325e+01    1.384261e+01    1.538114e+01    1.437994e+01    1.215756e+01    8.737032e+00    6.920233e+00    6.395668e+00    5.745806e+00    4.434973e+00
6         2.659219e-03    2.195597e+14    4.504807e+00    7.457297e+00    1.179810e+00    3.034682e+00    6.580828e+00    1.018245e+01    1.339945e+01    1.489540e+01    1.392867e+01    1.177754e+01    8.464480e+00    6.704446e+00    6.196251e+00    5.566668e+00    4.296718e+00
7         4.488850e-03    2.743718e+14    4.177934e+00    6.931867e+00    1.093452e+00    2.812322e+00    6.113686e+00    9.473538e+00    1.247759e+01    1.388501e+01    1.298998e+01    1.098702e+01    7.897533e+00    6.255577e+00    5.781435e+00    5.194034e+00    4.009129e+00
8         8.964167e-03    3.490560e+14    3.941992e+00    6.552601e+00    1.031117e+00    2.651818e+00    5.776493e+00    8.961829e+00    1.181218e+01    1.315568e+01    1.231242e+01    1.041642e+01    7.488298e+00    5.931574e+00    5.482012e+00    4.925059e+00    3.801542e+00
9         1.784998e-02    4.250880e+14    3.579970e+00    5.970670e+00    9.354718e-01    2.405547e+00    5.259117e+00    8.176682e+00    1.079120e+01    1.203663e+01    1.127278e+01    9.540900e+00    6.860385e+00    5.434436e+00    5.022589e+00    4.512354e+00    3.483027e+00
10        2.799012e-02    5.481216e+14    3.113079e+00    5.220168e+00    8.121210e-01    2.087937e+00    4.591869e+00    7.164098e+00    9.474461e+00    1.059342e+01    9.931993e+00    8.411766e+00    6.050580e+00    4.793290e+00    4.430082e+00    3.980099e+00    3.072246e+00
11        3.573537e-02    5.954688e+14    2.776663e+00    4.679395e+00    7.232411e-01    1.859085e+00    4.111086e+00    6.434482e+00    8.525688e+00    9.553518e+00    8.965887e+00    7.598169e+00    5.467075e+00    4.331312e+00    4.003151e+00    3.596583e+00    2.776258e+00
12        4.388573e-02    6.652800e+14    2.589683e+00    4.378834e+00    6.738419e-01    1.731889e+00    3.843868e+00    6.028961e+00    7.998357e+00    8.975535e+00    8.428920e+00    7.145967e+00    5.142760e+00    4.074542e+00    3.765861e+00    3.383422e+00    2.611746e+00
13        4.961839e-02    6.956928e+14    2.427870e+00    4.118724e+00    6.310915e-01    1.621813e+00    3.612613e+00    5.678016e+00    7.541994e+00    8.475336e+00    7.964217e+00    6.754621e+00    4.862090e+00    3.852327e+00    3.560504e+00    3.198948e+00    2.469374e+00
14        5.603555e-02    7.413120e+14    2.330120e+00    3.961593e+00    6.052664e-01    1.555318e+00    3.472914e+00    5.466012e+00    7.266307e+00    8.173166e+00    7.683490e+00    6.518208e+00    4.692536e+00    3.718086e+00    3.436447e+00    3.087506e+00    2.383366e+00
15        6.230036e-02    7.630848e+14    2.231992e+00    3.803852e+00    5.793415e-01    1.488565e+00    3.332673e+00    5.253183e+00    6.989547e+00    7.869816e+00    7.401666e+00    6.280871e+00    4.522320e+00    3.583321e+00    3.311906e+00    2.975629e+00    2.297023e+00
16        6.878357e-02    8.083584e+14    2.144569e+00    3.663316e+00    5.562448e-01    1.429095e+00    3.207729e+00    5.063564e+00    6.742963e+00    7.599539e+00    7.150565e+00    6.069407e+00    4.370659e+00    3.463247e+00    3.200940e+00    2.875948e+00    2.220091e+00
17        7.543748e-02    8.273664e+14    2.061674e+00    3.530056e+00    5.343445e-01    1.372706e+00    3.089255e+00    4.883762e+00    6.509145e+00    7.343252e+00    6.912462e+00    5.868888e+00    4.226847e+00    3.349387e+00    3.095718e+00    2.781426e+00    2.147141e+00
18        8.230894e-02    8.716032e+14    1.983156e+00    3.403821e+00    5.136009e-01    1.319295e+00    2.977029e+00    4.713431e+00    6.287632e+00    7.100440e+00    6.686871e+00    5.678904e+00    4.090591e+00    3.241508e+00    2.996023e+00    2.691869e+00    2.078023e+00
19        8.879927e-02    8.923392e+14    1.908019e+00    3.283017e+00    4.937506e-01    1.268185e+00    2.869632e+00    4.550424e+00    6.075640e+00    6.868058e+00    6.470968e+00    5.497077e+00    3.960184e+00    3.138260e+00    2.900608e+00    2.606156e+00    2.011873e+00
20        9.550118e-02    9.307008e+14    1.842187e+00    3.177164e+00    4.763588e-01    1.223405e+00    2.775529e+00    4.407585e+00    5.889868e+00    6.664408e+00    6.281756e+00    5.337726e+00    3.845896e+00    3.047775e+00    2.816987e+00    2.531039e+00    1.953899e+00
21        1.046808e-01    9.542016e+14    1.778866e+00    3.075183e+00    4.596340e-01    1.180352e+00    2.684910e+00    4.269859e+00    5.710604e+00    6.467712e+00    6.098927e+00    5.183711e+00    3.735421e+00    2.960306e+00    2.736153e+00    2.458424e+00    1.897856e+00
22        1.138890e-01    1.001549e+15    1.697943e+00    2.944739e+00    4.382629e-01    1.125344e+00    2.569027e+00    4.093619e+00    5.481109e+00    6.215777e+00    5.864701e+00    4.986372e+00    3.593858e+00    2.848221e+00    2.632571e+00    2.365375e+00    1.826042e+00
