izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
22        1.138890e-01    1.251936e+15    1.086684e+00    1.884633e+00    2.804882e-01    7.202203e-01    1.644177e+00    2.619916e+00    3.507910e+00    3.978098e+00    3.753409e+00    3.191278e+00    2.300069e+00    1.822862e+00    1.684846e+00    1.513840e+00    1.168667e+00
23        1.231733e-01    1.287792e+15    1.038654e+00    1.807095e+00    2.678064e-01    6.875844e-01    1.575322e+00    2.515077e+00    3.371291e+00    3.827995e+00    3.613803e+00    3.073630e+00    2.215664e+00    1.756031e+00    1.623084e+00    1.458358e+00    1.125847e+00
24        1.326445e-01    1.340064e+15    9.947653e-01    1.735716e+00    2.562301e-01    6.578221e-01    1.512068e+00    2.418217e+00    3.244615e+00    3.688248e+00    3.483586e+00    2.963770e+00    2.136799e+00    1.693579e+00    1.565369e+00    1.406509e+00    1.085829e+00
25        1.448927e-01    1.383264e+15    9.531971e-01    1.667977e+00    2.452689e-01    6.296483e-01    1.452070e+00    2.326204e+00    3.124164e+00    3.555225e+00    3.359572e+00    2.859111e+00    2.061657e+00    1.634074e+00    1.510376e+00    1.357106e+00    1.047699e+00
26        1.572242e-01    1.438992e+15    9.033863e-01    1.586671e+00    2.321373e-01    5.959030e-01    1.380090e+00    2.215675e+00    2.979359e+00    3.395164e+00    3.210292e+00    2.733099e+00    1.971172e+00    1.562417e+00    1.444152e+00    1.297614e+00    1.001781e+00
27        1.697169e-01    1.501200e+15    8.579063e-01    1.511766e+00    2.201625e-01    5.651669e-01    1.313939e+00    2.113407e+00    2.844811e+00    3.245735e+00    3.070627e+00    2.615049e+00    1.886349e+00    1.495234e+00    1.382062e+00    1.241833e+00    9.587262e-01
28        1.823643e-01    1.534896e+15    8.165429e-01    1.443026e+00    2.092856e-01    5.372819e-01    1.253382e+00    2.019154e+00    2.720291e+00    3.106806e+00    2.940506e+00    2.504927e+00    1.807171e+00    1.432514e+00    1.324095e+00    1.189755e+00    9.185286e-01
29        1.907107e-01    1.594944e+15    7.782211e-01    1.378788e+00    1.992211e-01    5.115098e-01    1.196922e+00    1.930715e+00    2.602995e+00    2.975371e+00    2.817165e+00    2.400423e+00    1.731987e+00    1.372951e+00    1.269045e+00    1.140297e+00    8.803511e-01
30        1.993106e-01    1.612224e+15    7.549050e-01    1.339419e+00    1.931041e-01    4.958613e-01    1.162387e+00    1.876330e+00    2.530632e+00    2.894001e+00    2.740686e+00    2.335563e+00    1.685302e+00    1.335962e+00    1.234859e+00    1.109581e+00    8.566412e-01
31        2.077098e-01    1.659312e+15    7.323702e-01    1.301158e+00    1.871968e-01    4.807609e-01    1.128875e+00    1.823341e+00    2.459957e+00    2.814319e+00    2.665707e+00    2.271930e+00    1.639484e+00    1.299658e+00    1.201304e+00    1.079434e+00    8.333689e-01
32        2.161876e-01    1.681344e+15    7.115123e-01    1.265564e+00    1.817332e-01    4.668045e-01    1.097741e+00    1.773933e+00    2.393912e+00    2.739683e+00    2.595401e+00    2.212226e+00    1.596482e+00    1.265582e+00    1.169809e+00    1.051136e+00    8.115243e-01
33        2.247936e-01    1.721088e+15    6.915923e-01    1.231402e+00    1.765191e-01    4.534947e-01    1.067897e+00    1.726403e+00    2.330244e+00    2.667566e+00    2.527401e+00    2.154445e+00    1.554852e+00    1.232592e+00    1.139317e+00    1.023739e+00    7.903748e-01
34        2.333907e-01    1.744416e+15    6.723454e-01    1.198237e+00    1.714848e-01    4.406522e-01    1.038962e+00    1.680164e+00    2.268182e+00    2.597120e+00    2.460914e+00    2.097918e+00    1.514114e+00    1.200307e+00    1.109476e+00    9.969273e-01    7.696764e-01
35        2.420309e-01    1.786320e+15    6.540423e-01    1.166551e+00    1.667006e-01    4.284560e-01    1.011351e+00    1.635894e+00    2.208646e+00    2.529400e+00    2.396941e+00    2.043499e+00    1.474884e+00    1.169215e+00    1.080738e+00    9.711059e-01    7.497424e-01
36        2.507676e-01    1.812240e+15    6.365295e-01    1.136098e+00    1.621262e-01    4.168018e-01    9.848458e-01    1.593262e+00    2.151208e+00    2.463939e+00    2.335049e+00    1.990824e+00    1.436901e+00    1.139110e+00    1.052912e+00    9.461038e-01    7.304407e-01
37        2.646089e-01    1.858032e+15    6.196773e-01    1.106665e+00    1.577272e-01    4.056016e-01    9.592578e-01    1.551979e+00    2.095488e+00    2.400316e+00    2.274845e+00    1.939560e+00    1.399928e+00    1.109803e+00    1.025824e+00    9.217642e-01    7.116501e-01
38        2.787225e-01    1.909008e+15    5.943346e-01    1.062189e+00    1.511168e-01    3.887825e-01    9.206406e-01    1.489465e+00    2.010948e+00    2.303585e+00    2.183232e+00    1.861510e+00    1.343619e+00    1.065169e+00    9.845672e-01    8.846936e-01    6.830306e-01
39        2.927237e-01    1.952640e+15    5.701791e-01    1.019545e+00    1.448218e-01    3.727798e-01    8.836706e-01    1.429370e+00    1.929486e+00    2.210145e+00    2.094639e+00    1.785985e+00    1.289115e+00    1.021962e+00    9.446296e-01    8.488075e-01    6.553251e-01
40        3.067863e-01    2.014416e+15    5.477055e-01    9.796440e-01    1.389702e-01    3.579166e-01    8.491299e-01    1.373003e+00    1.852907e+00    2.122101e+00    2.011078e+00    1.714707e+00    1.237660e+00    9.811693e-01    9.069239e-01    8.149265e-01    6.291671e-01
41        3.153916e-01    2.040336e+15    5.265916e-01    9.419673e-01    1.334769e-01    3.439741e-01    8.165571e-01    1.319663e+00    1.780298e+00    2.038449e+00    1.931616e+00    1.646890e+00    1.188690e+00    9.423453e-01    8.710371e-01    7.826796e-01    6.042704e-01
