izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         4.720683e-08    1.080000e+13    9.488375e-01    1.559776e+00    2.490245e-01    6.406963e-01    1.378872e+00    2.123823e+00    2.787116e+00    3.088249e+00    2.883541e+00    2.435969e+00    1.749893e+00    1.385901e+00    1.280830e+00    1.150665e+00    8.881344e-01
1         5.209976e-07    2.226528e+13    9.392485e-01    1.544362e+00    2.464911e-01    6.341733e-01    1.365168e+00    2.103027e+00    2.760073e+00    3.058608e+00    2.856004e+00    2.412779e+00    1.733261e+00    1.372733e+00    1.268661e+00    1.139733e+00    8.796978e-01
2         7.531176e-05    1.190592e+14    9.260862e-01    1.523204e+00    2.430136e-01    6.252194e-01    1.346357e+00    2.074480e+00    2.722952e+00    3.017922e+00    2.818205e+00    2.380947e+00    1.710432e+00    1.354658e+00    1.251957e+00    1.124728e+00    8.681173e-01
3         2.241859e-04    2.257632e+14    8.237865e-01    1.358763e+00    2.159865e-01    5.556284e-01    1.200158e+00    1.852615e+00    2.434444e+00    2.701702e+00    2.524427e+00    2.133544e+00    1.532997e+00    1.214177e+00    1.122134e+00    1.008107e+00    7.781119e-01
4         6.187699e-04    3.322944e+14    7.854565e-01    1.297149e+00    2.058598e-01    5.295538e-01    1.145379e+00    1.769485e+00    2.326345e+00    2.583220e+00    2.414354e+00    2.040846e+00    1.466515e+00    1.161542e+00    1.073492e+00    9.644104e-01    7.443883e-01
5         1.078353e-03    4.256928e+14    7.459113e-01    1.233582e+00    1.954121e-01    5.026526e-01    1.088864e+00    1.683720e+00    2.214818e+00    2.460982e+00    2.300790e+00    1.945210e+00    1.397925e+00    1.107237e+00    1.023307e+00    9.193290e-01    7.095956e-01
6         2.659219e-03    5.488992e+14    7.207691e-01    1.193168e+00    1.887696e-01    4.855491e-01    1.052932e+00    1.629192e+00    2.143912e+00    2.383264e+00    2.228588e+00    1.884406e+00    1.354317e+00    1.072711e+00    9.914002e-01    8.906668e-01    6.874749e-01
7         4.488850e-03    6.859296e+14    6.684695e-01    1.109099e+00    1.749523e-01    4.499715e-01    9.781897e-01    1.515766e+00    1.996415e+00    2.221601e+00    2.078397e+00    1.757924e+00    1.263605e+00    1.000892e+00    9.250296e-01    8.310454e-01    6.414607e-01
8         8.964167e-03    8.726400e+14    6.307187e-01    1.048416e+00    1.649787e-01    4.242909e-01    9.242388e-01    1.433893e+00    1.889949e+00    2.104909e+00    1.969986e+00    1.666627e+00    1.198128e+00    9.490518e-01    8.771220e-01    7.880094e-01    6.082467e-01
9         1.784998e-02    1.062720e+15    5.727951e-01    9.553072e-01    1.496755e-01    3.848875e-01    8.414587e-01    1.308269e+00    1.726592e+00    1.925861e+00    1.803645e+00    1.526544e+00    1.097662e+00    8.695098e-01    8.036143e-01    7.219767e-01    5.572843e-01
10        2.799012e-02    1.370304e+15    4.980926e-01    8.352269e-01    1.299394e-01    3.340699e-01    7.346991e-01    1.146256e+00    1.515914e+00    1.694948e+00    1.589119e+00    1.345883e+00    9.680929e-01    7.669264e-01    7.088132e-01    6.368159e-01    4.915594e-01
11        3.573537e-02    1.488672e+15    4.442660e-01    7.487032e-01    1.157186e-01    2.974535e-01    6.577738e-01    1.029517e+00    1.364110e+00    1.528563e+00    1.434542e+00    1.215707e+00    8.747321e-01    6.930099e-01    6.405042e-01    5.754532e-01    4.442013e-01
