izn            tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         8.190839e+00    1.361828e+01    2.103867e+00    5.470867e+00    1.203458e+01    1.845762e+01    2.412569e+01    2.669385e+01    2.491303e+01    2.104930e+01    1.512329e+01    1.197800e+01    1.106994e+01    9.945043e+00    7.676157e+00
1         3.620835e+00    6.205562e+00    9.367308e-01    2.408572e+00    5.430531e+00    8.582036e+00    1.143465e+01    1.289857e+01    1.214149e+01    1.030863e+01    7.424507e+00    5.883256e+00    5.437684e+00    4.885628e+00    3.771500e+00
2         2.567531e+00    4.501436e+00    6.594776e-01    1.694064e+00    3.917564e+00    6.278854e+00    8.434287e+00    9.601798e+00    9.075063e+00    7.724241e+00    5.570233e+00    4.415047e+00    4.080840e+00    3.666738e+00    2.830769e+00
3         1.974225e+00    3.510401e+00    5.036048e-01    1.294687e+00    3.045677e+00    4.916826e+00    6.630854e+00    7.584643e+00    7.183664e+00    6.122463e+00    4.418147e+00    3.502374e+00    3.237326e+00    2.908906e+00    2.245801e+00
4         1.592295e+00    2.845665e+00    4.038615e-01    1.040596e+00    2.467243e+00    3.985916e+00    5.376212e+00    6.154219e+00    5.831017e+00    4.971134e+00    3.587917e+00    2.844332e+00    2.629095e+00    2.362397e+00    1.823892e+00
5         1.319212e+00    2.356924e+00    3.328474e-01    8.604297e-01    2.045028e+00    3.293126e+00    4.432080e+00    5.065223e+00    4.796039e+00    4.087570e+00    2.949817e+00    2.338418e+00    2.161454e+00    1.942185e+00    1.499458e+00
6         1.110323e+00    1.976436e+00    2.787051e-01    7.233897e-01    1.717784e+00    2.749912e+00    3.687005e+00    4.200052e+00    3.971424e+00    3.382402e+00    2.440117e+00    1.934236e+00    1.787839e+00    1.606449e+00    1.240234e+00
7         9.426395e-01    1.668093e+00    2.355220e-01    6.139245e-01    1.453059e+00    2.308908e+00    3.081092e+00    3.494843e+00    3.298586e+00    2.806636e+00    2.023802e+00    1.604082e+00    1.482650e+00    1.332198e+00    1.028478e+00
8         8.051508e-01    1.413939e+00    2.002884e-01    5.244650e-01    1.235036e+00    1.945252e+00    2.581214e+00    2.912495e+00    2.742730e+00    2.330825e+00    1.679702e+00    1.331188e+00    1.230390e+00    1.105508e+00    8.534440e-01
9         6.900681e-01    1.200552e+00    1.708875e-01    4.497343e-01    1.052065e+00    1.639878e+00    2.161367e+00    2.423137e+00    2.275527e+00    1.930831e+00    1.390405e+00    1.101752e+00    1.018301e+00    9.149169e-01    7.062815e-01
10        5.929850e-01    1.020240e+00    1.461396e-01    3.867738e-01    8.974828e-01    1.381871e+00    1.806669e+00    2.009656e+00    1.880736e+00    1.592808e+00    1.145917e+00    9.078517e-01    8.390607e-01    7.538446e-01    5.819113e-01
11        5.100994e-01    8.663873e-01    1.251482e-01    3.331509e-01    7.654563e-01    1.162391e+00    1.505708e+00    1.659461e+00    1.546614e+00    1.306820e+00    9.390956e-01    7.438281e-01    6.874391e-01    6.175922e-01    4.767062e-01
12        4.404385e-01    7.371285e-01    1.072699e-01    2.878418e-01    6.547076e-01    9.769884e-01    1.250314e+00    1.361365e+00    1.261854e+00    1.062963e+00    7.627052e-01    6.039330e-01    5.581207e-01    5.013813e-01    3.869750e-01
13        3.729616e-01    6.176633e-01    8.970722e-02    2.431917e-01    5.512043e-01    8.084910e-01    1.021724e+00    1.098913e+00    1.012914e+00    8.506871e-01    6.094904e-01    4.824718e-01    4.458504e-01    4.005000e-01    3.090899e-01
14        3.015622e-01    4.997664e-01    7.092535e-02    1.949836e-01    4.471511e-01    6.473730e-01    8.095501e-01    8.630077e-01    7.923094e-01    6.641635e-01    4.754427e-01    3.762981e-01    3.477247e-01    3.123447e-01    2.410462e-01
15        2.355845e-01    3.931770e-01    5.351309e-02    1.501679e-01    3.525127e-01    5.032330e-01    6.216865e-01    6.565510e-01    6.002679e-01    5.023145e-01    3.593204e-01    2.843533e-01    2.627541e-01    2.360134e-01    1.821344e-01
16        1.781108e-01    3.005888e-01    3.841791e-02    1.111785e-01    2.701797e-01    3.785488e-01    4.598311e-01    4.793384e-01    4.357028e-01    3.637461e-01    2.599448e-01    2.056753e-01    1.900450e-01    1.706981e-01    1.317257e-01
17        1.248562e-01    2.128046e-01    2.566666e-02    7.647504e-02    1.916856e-01    2.642318e-01    3.161249e-01    3.255929e-01    2.943361e-01    2.451804e-01    1.750526e-01    1.384835e-01    1.279547e-01    1.149250e-01    8.868376e-02
18        7.351753e-02    1.258646e-01    1.477347e-02    4.463744e-02    1.134824e-01    1.552803e-01    1.844703e-01    1.889156e-01    1.703317e-01    1.417333e-01    1.011489e-01    8.001222e-02    7.392764e-02    6.639853e-02    5.123678e-02
19        2.651618e-02    4.558109e-02    5.216920e-03    1.597082e-02    4.113256e-02    5.590636e-02    6.598583e-02    6.721805e-02    6.045630e-02    5.025492e-02    3.584969e-02    2.835619e-02    2.619938e-02    2.353078e-02    1.815741e-02
