izn            tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         1.151837e+00    1.915071e+00    2.958563e-01    7.693407e-01    1.692363e+00    2.595603e+00    3.392674e+00    3.753823e+00    3.503394e+00    2.960057e+00    2.126713e+00    1.684407e+00    1.556710e+00    1.398522e+00    1.079459e+00
1         5.091798e-01    8.726571e-01    1.317277e-01    3.387054e-01    7.636682e-01    1.206849e+00    1.607998e+00    1.813861e+00    1.707397e+00    1.449651e+00    1.044071e+00    8.273327e-01    7.646742e-01    6.870413e-01    5.303671e-01
2         3.610590e-01    6.330144e-01    9.273901e-02    2.382277e-01    5.509073e-01    8.829636e-01    1.186071e+00    1.350253e+00    1.276181e+00    1.086221e+00    7.833138e-01    6.208658e-01    5.738680e-01    5.156349e-01    3.980769e-01
3         2.776254e-01    4.936500e-01    7.081940e-02    1.820653e-01    4.282982e-01    6.914285e-01    9.324636e-01    1.066590e+00    1.010202e+00    8.609712e-01    6.213017e-01    4.925213e-01    4.552488e-01    4.090647e-01    3.158157e-01
4         2.239164e-01    4.001716e-01    5.679300e-02    1.463337e-01    3.469559e-01    5.605193e-01    7.560296e-01    8.654368e-01    8.199865e-01    6.990656e-01    5.045507e-01    3.999841e-01    3.697164e-01    3.322120e-01    2.564848e-01
5         1.855142e-01    3.314423e-01    4.680665e-02    1.209979e-01    2.875820e-01    4.630957e-01    6.232611e-01    7.122968e-01    6.744428e-01    5.748144e-01    4.148179e-01    3.288399e-01    3.039544e-01    2.731196e-01    2.108613e-01
6         1.561391e-01    2.779363e-01    3.919289e-02    1.017266e-01    2.415633e-01    3.867062e-01    5.184849e-01    5.906322e-01    5.584813e-01    4.756501e-01    3.431413e-01    2.720018e-01    2.514148e-01    2.259068e-01    1.744079e-01
7         1.325586e-01    2.345755e-01    3.312027e-02    8.633310e-02    2.043364e-01    3.246901e-01    4.332784e-01    4.914621e-01    4.638635e-01    3.946831e-01    2.845970e-01    2.255740e-01    2.084976e-01    1.873403e-01    1.446297e-01
8         1.132243e-01    1.988351e-01    2.816554e-02    7.375286e-02    1.736768e-01    2.735510e-01    3.629831e-01    4.095694e-01    3.856963e-01    3.277721e-01    2.362080e-01    1.871983e-01    1.730235e-01    1.554620e-01    1.200155e-01
9         9.704078e-02    1.688275e-01    2.403104e-02    6.324387e-02    1.479466e-01    2.306078e-01    3.039421e-01    3.407536e-01    3.199959e-01    2.715231e-01    1.955256e-01    1.549338e-01    1.431985e-01    1.286601e-01    9.932080e-02
10        8.338848e-02    1.434712e-01    2.055087e-02    5.439004e-02    1.262085e-01    1.943255e-01    2.540627e-01    2.826078e-01    2.644785e-01    2.239885e-01    1.611445e-01    1.276666e-01    1.179929e-01    1.060094e-01    8.183125e-02
11        7.173269e-02    1.218357e-01    1.759896e-02    4.684933e-02    1.076422e-01    1.634612e-01    2.117401e-01    2.333616e-01    2.174924e-01    1.837715e-01    1.320603e-01    1.046008e-01    9.667109e-02    8.684887e-02    6.703678e-02
12        6.193664e-02    1.036587e-01    1.508483e-02    4.047773e-02    9.206821e-02    1.373889e-01    1.758254e-01    1.914419e-01    1.774482e-01    1.494791e-01    1.072554e-01    8.492804e-02    7.848570e-02    7.050672e-02    5.441834e-02
13        5.244770e-02    8.685886e-02    1.261507e-02    3.419883e-02    7.751307e-02    1.136940e-01    1.436798e-01    1.545346e-01    1.424410e-01    1.196278e-01    8.570955e-02    6.784757e-02    6.269769e-02    5.632028e-02    4.346575e-02
14        4.240717e-02    7.027962e-02    9.973873e-03    2.741955e-02    6.288059e-02    9.103679e-02    1.138429e-01    1.213604e-01    1.114185e-01    9.339795e-02    6.685910e-02    5.291690e-02    4.889877e-02    4.392346e-02    3.389711e-02
15        3.312906e-02    5.529049e-02    7.525275e-03    2.111736e-02    4.957207e-02    7.076710e-02    8.742463e-02    9.232745e-02    8.441264e-02    7.063795e-02    5.052941e-02    3.998717e-02    3.694978e-02    3.318937e-02    2.561264e-02
16        2.504682e-02    4.227028e-02    5.402516e-03    1.563447e-02    3.799401e-02    5.323341e-02    6.466372e-02    6.740693e-02    6.127068e-02    5.115178e-02    3.655473e-02    2.892307e-02    2.672506e-02    2.400441e-02    1.852392e-02
17        1.755790e-02    2.992564e-02    3.609373e-03    1.075430e-02    2.695577e-02    3.715758e-02    4.445504e-02    4.578648e-02    4.139100e-02    3.447847e-02    2.461676e-02    1.947423e-02    1.799362e-02    1.616133e-02    1.247115e-02
18        1.033840e-02    1.769970e-02    2.077519e-03    6.277138e-03    1.595846e-02    2.183629e-02    2.594112e-02    2.656625e-02    2.395289e-02    1.993123e-02    1.422406e-02    1.125171e-02    1.039607e-02    9.337289e-03    7.205170e-03
19        3.728835e-03    6.409837e-03    7.336291e-04    2.245896e-03    5.784263e-03    7.861828e-03    9.279253e-03    9.452533e-03    8.501663e-03    7.067095e-03    5.041361e-03    3.987587e-03    3.684287e-03    3.309014e-03    2.553385e-03
