izn            tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         2.948702e+00    4.902581e+00    7.573921e-01    1.969512e+00    4.332449e+00    6.644744e+00    8.685247e+00    9.609787e+00    8.968689e+00    7.577747e+00    5.444385e+00    4.312081e+00    3.985178e+00    3.580215e+00    2.763416e+00
1         1.303500e+00    2.234002e+00    3.372231e-01    8.670858e-01    1.954991e+00    3.089533e+00    4.116475e+00    4.643485e+00    4.370937e+00    3.711108e+00    2.672822e+00    2.117972e+00    1.957566e+00    1.758826e+00    1.357740e+00
2         9.243110e-01    1.620517e+00    2.374119e-01    6.098630e-01    1.410323e+00    2.260387e+00    3.036343e+00    3.456647e+00    3.267022e+00    2.780726e+00    2.005283e+00    1.589417e+00    1.469102e+00    1.320025e+00    1.019077e+00
3         7.107211e-01    1.263744e+00    1.812977e-01    4.660872e-01    1.096444e+00    1.770057e+00    2.387107e+00    2.730471e+00    2.586119e+00    2.204086e+00    1.590533e+00    1.260855e+00    1.165437e+00    1.047206e+00    8.084882e-01
4         5.732261e-01    1.024439e+00    1.453901e-01    3.746144e-01    8.882072e-01    1.434930e+00    1.935436e+00    2.215518e+00    2.099166e+00    1.789608e+00    1.291650e+00    1.023959e+00    9.464741e-01    8.504628e-01    6.566012e-01
5         4.749164e-01    8.484924e-01    1.198250e-01    3.097546e-01    7.362100e-01    1.185525e+00    1.595549e+00    1.823480e+00    1.726574e+00    1.471525e+00    1.061934e+00    8.418303e-01    7.781234e-01    6.991863e-01    5.398049e-01
6         3.997162e-01    7.115169e-01    1.003338e-01    2.604202e-01    6.184022e-01    9.899681e-01    1.327321e+00    1.512019e+00    1.429712e+00    1.217664e+00    8.784418e-01    6.963247e-01    6.436219e-01    5.783215e-01    4.464842e-01
7         3.393502e-01    6.005132e-01    8.478791e-02    2.210128e-01    5.231011e-01    8.312068e-01    1.109193e+00    1.258143e+00    1.187491e+00    1.010389e+00    7.285685e-01    5.774695e-01    5.337540e-01    4.795912e-01    3.702522e-01
8         2.898542e-01    5.090179e-01    7.210379e-02    1.888073e-01    4.446127e-01    7.002907e-01    9.292369e-01    1.048498e+00    9.873826e-01    8.390968e-01    6.046925e-01    4.792277e-01    4.429403e-01    3.979829e-01    3.072398e-01
9         2.484244e-01    4.321984e-01    6.151948e-02    1.619043e-01    3.787433e-01    5.903560e-01    7.780918e-01    8.723293e-01    8.191897e-01    6.950991e-01    5.005456e-01    3.966306e-01    3.665882e-01    3.293700e-01    2.542613e-01
10        2.134745e-01    3.672862e-01    5.261024e-02    1.392385e-01    3.230937e-01    4.974734e-01    6.504006e-01    7.234760e-01    6.770649e-01    5.734106e-01    4.125301e-01    3.268265e-01    3.020618e-01    2.713840e-01    2.094880e-01
11        1.836357e-01    3.118993e-01    4.505334e-02    1.199343e-01    2.755642e-01    4.184607e-01    5.420548e-01    5.974057e-01    5.567807e-01    4.704551e-01    3.380743e-01    2.677780e-01    2.474780e-01    2.223331e-01    1.716142e-01
12        1.585578e-01    2.653662e-01    3.861717e-02    1.036230e-01    2.356947e-01    3.517157e-01    4.501130e-01    4.900913e-01    4.542675e-01    3.826666e-01    2.745738e-01    2.174158e-01    2.009234e-01    1.804972e-01    1.393110e-01
13        1.342661e-01    2.223587e-01    3.229459e-02    8.754901e-02    1.984335e-01    2.910567e-01    3.678204e-01    3.956086e-01    3.646490e-01    3.062473e-01    2.194165e-01    1.736898e-01    1.605061e-01    1.441799e-01    1.112723e-01
14        1.085624e-01    1.799159e-01    2.553312e-02    7.019406e-02    1.609743e-01    2.330542e-01    2.914380e-01    3.106827e-01    2.852313e-01    2.390988e-01    1.711593e-01    1.354673e-01    1.251809e-01    1.124441e-01    8.677661e-02
15        8.481040e-02    1.415437e-01    1.926471e-02    5.406044e-02    1.269045e-01    1.811638e-01    2.238071e-01    2.363583e-01    2.160964e-01    1.808332e-01    1.293553e-01    1.023672e-01    9.459144e-02    8.496481e-02    6.556836e-02
16        6.411986e-02    1.082119e-01    1.383044e-02    4.002424e-02    9.726468e-02    1.362775e-01    1.655391e-01    1.725618e-01    1.568530e-01    1.309486e-01    9.358012e-02    7.404307e-02    6.841616e-02    6.145130e-02    4.742125e-02
17        4.494822e-02    7.660965e-02    9.239996e-03    2.753100e-02    6.900679e-02    9.512341e-02    1.138049e-01    1.172134e-01    1.059610e-01    8.826490e-02    6.301891e-02    4.985404e-02    4.606368e-02    4.137300e-02    3.192615e-02
18        2.646631e-02    4.531123e-02    5.318450e-03    1.606948e-02    4.085366e-02    5.590091e-02    6.640928e-02    6.800961e-02    6.131941e-02    5.102397e-02    3.641361e-02    2.880439e-02    2.661394e-02    2.390346e-02    1.844524e-02
19        9.545820e-03    1.640919e-02    1.878091e-03    5.749494e-03    1.480772e-02    2.012628e-02    2.375489e-02    2.419849e-02    2.176426e-02    1.809177e-02    1.290589e-02    1.020823e-02    9.431775e-03    8.471077e-03    6.536667e-03
