izn            tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         9.100932e-01    1.513142e+00    2.337630e-01    6.078741e-01    1.337176e+00    2.050847e+00    2.680632e+00    2.965983e+00    2.768114e+00    2.338811e+00    1.680366e+00    1.330889e+00    1.229993e+00    1.105005e+00    8.529062e-01
1         4.023149e-01    6.895068e-01    1.040812e-01    2.676191e-01    6.033922e-01    9.535594e-01    1.270517e+00    1.433174e+00    1.349055e+00    1.145404e+00    8.249451e-01    6.536950e-01    6.041870e-01    5.428474e-01    4.190555e-01
2         2.852812e-01    5.001595e-01    7.327527e-02    1.882293e-01    4.352848e-01    6.976503e-01    9.371427e-01    1.066866e+00    1.008340e+00    8.582488e-01    6.189146e-01    4.905606e-01    4.534265e-01    4.074152e-01    3.145299e-01
3         2.193583e-01    3.900444e-01    5.595607e-02    1.438541e-01    3.384085e-01    5.463139e-01    7.367614e-01    8.427379e-01    7.981847e-01    6.802735e-01    4.909051e-01    3.891526e-01    3.597027e-01    3.232116e-01    2.495334e-01
4         1.769216e-01    3.161850e-01    4.487348e-02    1.156217e-01    2.741380e-01    4.428795e-01    5.973567e-01    6.838019e-01    6.478906e-01    5.523481e-01    3.986574e-01    3.160368e-01    2.921216e-01    2.624885e-01    2.026547e-01
5         1.465791e-01    2.618803e-01    3.698303e-02    9.560327e-02    2.272253e-01    3.659028e-01    4.924532e-01    5.628024e-01    5.328930e-01    4.541743e-01    3.277573e-01    2.598241e-01    2.401615e-01    2.157982e-01    1.666064e-01
6         1.233692e-01    2.196040e-01    3.096722e-02    8.037660e-02    1.908649e-01    3.055457e-01    4.096671e-01    4.666723e-01    4.412692e-01    3.758223e-01    2.711240e-01    2.149150e-01    1.986487e-01    1.784943e-01    1.378037e-01
7         1.047377e-01    1.853436e-01    2.616911e-02    6.821381e-02    1.614509e-01    2.565453e-01    3.423434e-01    3.883157e-01    3.665094e-01    3.118483e-01    2.248668e-01    1.782313e-01    1.647389e-01    1.480219e-01    1.142753e-01
8         8.946117e-02    1.571043e-01    2.225425e-02    5.827386e-02    1.372261e-01    2.161391e-01    2.868015e-01    3.236104e-01    3.047477e-01    2.589804e-01    1.866335e-01    1.479098e-01    1.367099e-01    1.228342e-01    9.482708e-02
9         7.667420e-02    1.333946e-01    1.898749e-02    4.997046e-02    1.168961e-01    1.822086e-01    2.401518e-01    2.692374e-01    2.528363e-01    2.145367e-01    1.544893e-01    1.224168e-01    1.131445e-01    1.016574e-01    7.847569e-02
10        6.588719e-02    1.133599e-01    1.623772e-02    4.297485e-02    9.972027e-02    1.535412e-01    2.007409e-01    2.232950e-01    2.089706e-01    1.769786e-01    1.273241e-01    1.008724e-01    9.322892e-02    8.376048e-02    6.465679e-02
11        5.667768e-02    9.626521e-02    1.390535e-02    3.701675e-02    8.505066e-02    1.291545e-01    1.673008e-01    1.843845e-01    1.718459e-01    1.452022e-01    1.043439e-01    8.264753e-02    7.638209e-02    6.862133e-02    5.296733e-02
12        4.893759e-02    8.190313e-02    1.191888e-02    3.198240e-02    7.274525e-02    1.085542e-01    1.389238e-01    1.512627e-01    1.402060e-01    1.181070e-01    8.474498e-02    6.710364e-02    6.201339e-02    5.570901e-02    4.299720e-02
13        4.144015e-02    6.862922e-02    9.967465e-03    2.702129e-02    6.124489e-02    8.983229e-02    1.135248e-01    1.221014e-01    1.125460e-01    9.452075e-02    6.772113e-02    5.360796e-02    4.953892e-02    4.449998e-02    3.434330e-02
14        3.350690e-02    5.552958e-02    7.880591e-03    2.166483e-02    4.968343e-02    7.193030e-02    8.994998e-02    9.588970e-02    8.803434e-02    7.379591e-02    5.282694e-02    4.181088e-02    3.863606e-02    3.470496e-02    2.678290e-02
15        2.617604e-02    4.368631e-02    5.945896e-03    1.668532e-02    3.916806e-02    5.591475e-02    6.907625e-02    7.295008e-02    6.669641e-02    5.581270e-02    3.992447e-02    3.159480e-02    2.919489e-02    2.622370e-02    2.023714e-02
16        1.979008e-02    3.339874e-02    4.268654e-03    1.235316e-02    3.001996e-02    4.206096e-02    5.109232e-02    5.325980e-02    4.841140e-02    4.041622e-02    2.888275e-02    2.285280e-02    2.111610e-02    1.896645e-02    1.463619e-02
17        1.387290e-02    2.364495e-02    2.851850e-03    8.497222e-03    2.129839e-02    2.935907e-02    3.512497e-02    3.617697e-02    3.270400e-02    2.724225e-02    1.945028e-02    1.538705e-02    1.421718e-02    1.276944e-02    9.853747e-03
18        8.168612e-03    1.398495e-02    1.641497e-03    4.959714e-03    1.260915e-02    1.725336e-02    2.049669e-02    2.099062e-02    1.892574e-02    1.574814e-02    1.123877e-02    8.890243e-03    8.214179e-03    7.377611e-03    5.692974e-03
19        2.946240e-03    5.064562e-03    5.796575e-04    1.774535e-03    4.570282e-03    6.211814e-03    7.331755e-03    7.468668e-03    6.717363e-03    5.583877e-03    3.983297e-03    3.150686e-03    2.911041e-03    2.614530e-03    2.017489e-03
