izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         4.720683e-08    9.720000e+12    1.171404e+00    1.925649e+00    3.074376e-01    7.909831e-01    1.702311e+00    2.622004e+00    3.440884e+00    3.812652e+00    3.559928e+00    3.007369e+00    2.160362e+00    1.710988e+00    1.581272e+00    1.420574e+00    1.096462e+00
1         5.209976e-07    2.003875e+13    1.159566e+00    1.906619e+00    3.043100e-01    7.829299e-01    1.685392e+00    2.596329e+00    3.407497e+00    3.776059e+00    3.525931e+00    2.978739e+00    2.139829e+00    1.694732e+00    1.566248e+00    1.407078e+00    1.086047e+00
2         7.531176e-05    1.071533e+14    1.143316e+00    1.880499e+00    3.000168e-01    7.718758e-01    1.662169e+00    2.561087e+00    3.361669e+00    3.725829e+00    3.479266e+00    2.939440e+00    2.111644e+00    1.672417e+00    1.545626e+00    1.388553e+00    1.071750e+00
3         2.241859e-04    2.031869e+14    1.017020e+00    1.677485e+00    2.666499e-01    6.859610e-01    1.481676e+00    2.287179e+00    3.005486e+00    3.335435e+00    3.116577e+00    2.634005e+00    1.892589e+00    1.498984e+00    1.385351e+00    1.244576e+00    9.606320e-01
4         6.187699e-04    2.990650e+14    9.696994e-01    1.601419e+00    2.541479e-01    6.537701e-01    1.414048e+00    2.184550e+00    2.872031e+00    3.189161e+00    2.980683e+00    2.519564e+00    1.810512e+00    1.434002e+00    1.325298e+00    1.190630e+00    9.189980e-01
5         1.078353e-03    3.831235e+14    9.208782e-01    1.522941e+00    2.412495e-01    6.205587e-01    1.344277e+00    2.078667e+00    2.734344e+00    3.038249e+00    2.840481e+00    2.401494e+00    1.725833e+00    1.366960e+00    1.263342e+00    1.134974e+00    8.760440e-01
6         2.659219e-03    4.940093e+14    8.898383e-01    1.473046e+00    2.330489e-01    5.994434e-01    1.299917e+00    2.011349e+00    2.646804e+00    2.942302e+00    2.751343e+00    2.326427e+00    1.671996e+00    1.324335e+00    1.223951e+00    1.099589e+00    8.487345e-01
7         4.488850e-03    6.173366e+14    8.252710e-01    1.369258e+00    2.159905e-01    5.555204e-01    1.207642e+00    1.871316e+00    2.464710e+00    2.742717e+00    2.565922e+00    2.170276e+00    1.560006e+00    1.235669e+00    1.142012e+00    1.025982e+00    7.919268e-01
8         8.964167e-03    7.853760e+14    7.786650e-01    1.294341e+00    2.036773e-01    5.238159e-01    1.141036e+00    1.770238e+00    2.333270e+00    2.598653e+00    2.432082e+00    2.057564e+00    1.479170e+00    1.171669e+00    1.082867e+00    9.728512e-01    7.509218e-01
9         1.784998e-02    9.564480e+14    7.071545e-01    1.179392e+00    1.847845e-01    4.751698e-01    1.038838e+00    1.615147e+00    2.131595e+00    2.377606e+00    2.226722e+00    1.884622e+00    1.355138e+00    1.073469e+00    9.921164e-01    8.913293e-01    6.880053e-01
10        2.799012e-02    1.233274e+15    6.149292e-01    1.031144e+00    1.604190e-01    4.124320e-01    9.070359e-01    1.415130e+00    1.871499e+00    2.092528e+00    1.961875e+00    1.661583e+00    1.195176e+00    9.468228e-01    8.750780e-01    7.861925e-01    6.068635e-01
11        3.573537e-02    1.339805e+15    5.484766e-01    9.243250e-01    1.428624e-01    3.672266e-01    8.120665e-01    1.271009e+00    1.684086e+00    1.887115e+00    1.771039e+00    1.500873e+00    1.079916e+00    8.555678e-01    7.907460e-01    7.104361e-01    5.483967e-01
12        4.388573e-02    1.496880e+15    5.115424e-01    8.649548e-01    1.331046e-01    3.421016e-01    7.592825e-01    1.190906e+00    1.579922e+00    1.772945e+00    1.664972e+00    1.411549e+00    1.015854e+00    8.048478e-01    7.438737e-01    6.683303e-01    5.159005e-01
13        4.961839e-02    1.565309e+15    4.795792e-01    8.135750e-01    1.246600e-01    3.203582e-01    7.136026e-01    1.121583e+00    1.489777e+00    1.674140e+00    1.573179e+00    1.334246e+00    9.604128e-01    7.609535e-01    7.033094e-01    6.318909e-01    4.877775e-01
14        5.603555e-02    1.667952e+15    4.602706e-01    7.825369e-01    1.195588e-01    3.072233e-01    6.860077e-01    1.079706e+00    1.435320e+00    1.614452e+00    1.517726e+00    1.287547e+00    9.269207e-01    7.344368e-01    6.788044e-01    6.098778e-01    4.707884e-01
