izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         4.720683e-08    3.240000e+12    1.054264e+01    1.733084e+01    2.766938e+00    7.118848e+00    1.532080e+01    2.359803e+01    3.096796e+01    3.431387e+01    3.203935e+01    2.706632e+01    1.944326e+01    1.539890e+01    1.423144e+01    1.278516e+01    9.868160e+00
1         5.209976e-07    6.679584e+12    1.043609e+01    1.715957e+01    2.738790e+00    7.046369e+00    1.516853e+01    2.336696e+01    3.066748e+01    3.398453e+01    3.173338e+01    2.680865e+01    1.925846e+01    1.525259e+01    1.409623e+01    1.266370e+01    9.774420e+00
2         7.531176e-05    3.571776e+13    1.028985e+01    1.692449e+01    2.700151e+00    6.946882e+00    1.495952e+01    2.304978e+01    3.025502e+01    3.353246e+01    3.131339e+01    2.645496e+01    1.900480e+01    1.505175e+01    1.391064e+01    1.249698e+01    9.645748e+00
3         2.241859e-04    6.772896e+13    9.153183e+00    1.509736e+01    2.399849e+00    6.173649e+00    1.333509e+01    2.058461e+01    2.704938e+01    3.001892e+01    2.804919e+01    2.370605e+01    1.703330e+01    1.349086e+01    1.246816e+01    1.120118e+01    8.645688e+00
4         6.187699e-04    9.968832e+13    8.727295e+00    1.441277e+01    2.287331e+00    5.883931e+00    1.272644e+01    1.966095e+01    2.584828e+01    2.870245e+01    2.682615e+01    2.267607e+01    1.629461e+01    1.290602e+01    1.192769e+01    1.071567e+01    8.270982e+00
5         1.078353e-03    1.277078e+14    8.287904e+00    1.370647e+01    2.171246e+00    5.585028e+00    1.209849e+01    1.870800e+01    2.460909e+01    2.734424e+01    2.556433e+01    2.161344e+01    1.553250e+01    1.230264e+01    1.137008e+01    1.021477e+01    7.884396e+00
6         2.659219e-03    1.646698e+14    8.008545e+00    1.325742e+01    2.097440e+00    5.394990e+00    1.169925e+01    1.810214e+01    2.382124e+01    2.648072e+01    2.476209e+01    2.093784e+01    1.504796e+01    1.191901e+01    1.101556e+01    9.896298e+00    7.638610e+00
7         4.488850e-03    2.057789e+14    7.427439e+00    1.232332e+01    1.943914e+00    4.999684e+00    1.086877e+01    1.684184e+01    2.218239e+01    2.468445e+01    2.309330e+01    1.953249e+01    1.404006e+01    1.112103e+01    1.027811e+01    9.233838e+00    7.127341e+00
8         8.964167e-03    2.617920e+14    7.007985e+00    1.164907e+01    1.833096e+00    4.714343e+00    1.026932e+01    1.593214e+01    2.099943e+01    2.338788e+01    2.188874e+01    1.851808e+01    1.331253e+01    1.054502e+01    9.745799e+00    8.755660e+00    6.758296e+00
9         1.784998e-02    3.188160e+14    6.364391e+00    1.061452e+01    1.663061e+00    4.276528e+00    9.349541e+00    1.453632e+01    1.918435e+01    2.139846e+01    2.004050e+01    1.696160e+01    1.219624e+01    9.661220e+00    8.929047e+00    8.021963e+00    6.192048e+00
