# Energy(keV) Counts
1.179943e+00 3.286392e+06
1.180922e+00 3.283098e+06
1.181902e+00 3.281278e+06
1.182883e+00 3.275559e+06
1.183864e+00 3.268735e+06
1.184847e+00 3.269317e+06
1.185830e+00 3.270454e+06
1.186814e+00 3.263934e+06
1.187799e+00 3.260167e+06
1.188784e+00 3.258552e+06
1.189770e+00 3.252786e+06
1.190758e+00 3.251315e+06
1.191746e+00 3.246505e+06
1.192735e+00 3.246219e+06
1.193724e+00 3.241606e+06
1.194715e+00 3.240967e+06
1.195706e+00 3.232351e+06
1.196698e+00 3.233021e+06
1.197691e+00 3.232054e+06
1.198685e+00 3.227490e+06
1.199680e+00 3.224390e+06
1.200675e+00 3.218308e+06
1.201671e+00 3.217890e+06
1.202668e+00 3.213028e+06
1.203666e+00 3.210741e+06
1.204665e+00 3.207032e+06
1.205665e+00 3.204933e+06
1.206665e+00 3.206474e+06
1.207666e+00 3.197865e+06
1.208668e+00 3.196232e+06
1.209671e+00 3.192091e+06
1.210675e+00 3.190136e+06
1.211679e+00 3.189566e+06
1.212685e+00 3.186019e+06
1.213691e+00 3.180583e+06
1.214698e+00 3.179522e+06
1.215706e+00 3.175299e+06
1.216715e+00 3.174505e+06
1.217724e+00 3.168162e+06
1.218735e+00 3.167896e+06
1.219746e+00 3.162040e+06
1.220758e+00 3.162107e+06
1.221771e+00 3.160256e+06
1.222785e+00 3.156103e+06
1.223799e+00 3.149367e+06
1.224815e+00 3.149659e+06
1.225831e+00 3.144221e+06
1.226848e+00 3.141622e+06
1.227866e+00 3.138945e+06
1.228885e+00 3.134141e+06
1.229905e+00 3.134428e+06
1.230925e+00 3.130137e+06
1.231946e+00 3.131175e+06
1.232969e+00 3.125805e+06
1.233992e+00 3.119087e+06
1.235016e+00 3.118468e+06
1.236040e+00 3.116979e+06
1.237066e+00 3.114479e+06
1.238092e+00 3.113253e+06
1.239120e+00 3.107918e+06
1.240148e+00 3.104356e+06
1.241177e+00 3.100644e+06
1.242207e+00 3.098509e+06
1.243238e+00 3.095895e+06
1.244269e+00 3.094602e+06
1.245302e+00 3.089038e+06
1.246335e+00 3.087372e+06
1.247369e+00 3.086081e+06
1.248404e+00 3.084987e+06
1.249440e+00 3.077237e+06
1.250477e+00 3.075325e+06
1.251514e+00 3.074563e+06
1.252553e+00 3.071147e+06
1.253592e+00 3.064692e+06
1.254632e+00 3.066390e+06
1.255673e+00 3.061018e+06
1.256715e+00 3.057740e+06
1.257758e+00 3.058867e+06
1.258801e+00 3.052822e+06
1.259846e+00 3.052100e+06
1.260891e+00 3.048557e+06
1.261937e+00 3.042444e+06
1.262985e+00 3.038784e+06
1.264032e+00 3.037260e+06
1.265081e+00 3.031895e+06
1.266131e+00 3.029925e+06
1.267182e+00 3.030860e+06
1.268233e+00 3.025688e+06
1.269285e+00 3.024146e+06
1.270339e+00 3.019345e+06
1.271393e+00 3.017304e+06
1.272448e+00 3.014397e+06
1.273503e+00 3.009558e+06
1.274560e+00 3.010086e+06
1.275618e+00 3.005585e+06
1.276676e+00 3.001807e+06
1.277735e+00 3.001056e+06
1.278796e+00 3.000520e+06
1.279857e+00 2.996747e+06
1.280919e+00 2.992459e+06
1.281981e+00 2.992655e+06
1.283045e+00 2.987421e+06
