# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 9.0000000000000000e+01
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
1	9.72000000e+12	1.25000000e+06	2.44091259e-14	5.38048958e-11	1.00000000e+00	0.00000000e+00	4.72068311e-08
2	2.00387520e+13	2.57700000e+06	3.15608817e-14	1.13964761e-10	1.00000000e+00	0.00000000e+00	5.20997647e-07
3	1.07153280e+14	1.37800000e+07	2.90554398e-14	8.23026945e-11	1.00000000e+00	0.00000000e+00	7.53117593e-05
4	2.03186880e+14	2.61300000e+07	9.87550699e-15	8.87091341e-11	1.00000000e+00	0.00000000e+00	2.24185899e-04
5	2.99064960e+14	3.84600000e+07	1.02051237e-14	9.75362303e-11	1.00000000e+00	0.00000000e+00	6.18769853e-04
6	3.83123520e+14	4.92700000e+07	7.40058914e-15	8.71965988e-11	1.00000000e+00	0.00000000e+00	1.07835343e-03
7	4.94009280e+14	6.35300000e+07	1.16698694e-14	3.84570788e-10	1.00000000e+00	0.00000000e+00	2.65921922e-03
8	6.17336640e+14	7.93900000e+07	7.57375789e-15	3.65034386e-10	1.00000000e+00	0.00000000e+00	4.48885032e-03
9	7.85376000e+14	1.01000000e+08	8.52879526e-15	6.24406172e-10	9.99999999e-01	0.00000000e+00	8.96416726e-03
10	9.56448000e+14	1.23000000e+08	1.08043898e-14	4.01723184e-09	9.99999996e-01	0.00000000e+00	1.78499763e-02
11	1.23327360e+15	1.58600000e+08	4.81102193e-15	6.70081052e-09	9.99982641e-01	1.73524777e-05	2.79901172e-02
12	1.33980480e+15	1.72300000e+08	6.94847989e-15	1.06386279e-08	9.99941530e-01	5.84593067e-05	3.57353741e-02
