# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 4.0000000000000000e+01
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
1	4.32000000e+12	1.25000000e+06	2.78035200e-13	5.38048958e-11	1.00000000e+00	0.00000000e+00	4.72068311e-08
2	8.90611200e+12	2.57700000e+06	3.59498168e-13	1.13964761e-10	1.00000000e+00	0.00000000e+00	5.20997647e-07
3	4.76236800e+13	1.37800000e+07	3.30959619e-13	8.23026945e-11	1.00000000e+00	0.00000000e+00	7.53117593e-05
4	9.03052800e+13	2.61300000e+07	1.12488197e-13	8.87091341e-11	1.00000000e+00	0.00000000e+00	2.24185899e-04
5	1.32917760e+14	3.84600000e+07	1.16242737e-13	9.75362303e-11	1.00000000e+00	0.00000000e+00	6.18769853e-04
6	1.70277120e+14	4.92700000e+07	8.42973356e-14	8.71965988e-11	1.00000000e+00	0.00000000e+00	1.07835343e-03
7	2.19559680e+14	6.35300000e+07	1.32927106e-13	3.84570788e-10	1.00000000e+00	0.00000000e+00	2.65921922e-03
8	2.74371840e+14	7.93900000e+07	8.62698360e-14	3.65034386e-10	1.00000000e+00	0.00000000e+00	4.48885032e-03
9	3.49056000e+14	1.01000000e+08	9.71483085e-14	6.24406172e-10	9.99999999e-01	0.00000000e+00	8.96416726e-03
10	4.25088000e+14	1.23000000e+08	1.23068753e-13	4.01723184e-09	9.99999996e-01	0.00000000e+00	1.78499763e-02
11	5.48121600e+14	1.58600000e+08	5.48005466e-14	6.70081052e-09	9.99982641e-01	1.73524777e-05	2.79901172e-02
12	5.95468800e+14	1.72300000e+08	7.91475287e-14	1.06386279e-08	9.99941530e-01	5.84593067e-05	3.57353741e-02
13	6.65280000e+14	1.92500000e+08	4.64553137e-14	1.37050061e-08	9.99894902e-01	1.05083816e-04	4.38857260e-02
14	6.95692800e+14	2.01300000e+08	6.44190309e-14	1.60829120e-08	9.99831358e-01	1.68626228e-04	4.96183949e-02
15	7.41312000e+14	2.14500000e+08	4.31139121e-14	1.80057375e-08	9.99720867e-01	2.79115012e-04	5.60355494e-02
16	7.63084800e+14	2.20800000e+08	8.04865366e-14	2.02323079e-08	9.99479971e-01	5.20009053e-04	6.23003570e-02
17	8.08358400e+14	2.33900000e+08	3.67039435e-14	2.16048831e-08	9.99360273e-01	6.39704907e-04	6.87835711e-02
18	8.27366400e+14	2.39400000e+08	8.28295475e-14	2.48469007e-08	9.98576139e-01	1.42383601e-03	7.54374796e-02
19	8.71603200e+14	2.52200000e+08	3.40628564e-14	2.59042218e-08	9.98194375e-01	1.80559882e-03	8.23089425e-02
20	8.92339200e+14	2.58200000e+08	6.36851094e-14	2.78928648e-08	9.97464939e-01	2.53503299e-03	8.87992725e-02
21	9.30700800e+14	2.69300000e+08	3.32759398e-14	3.83916357e-08	9.83805864e-01	1.61940975e-02	9.55011830e-02
22	9.54201600e+14	2.76100000e+08	6.96024951e-14	4.17030595e-08	9.76472271e-01	2.35276873e-02	1.04680762e-01
23	1.00154880e+15	2.89800000e+08	3.21851337e-14	4.50167208e-08	9.64005704e-01	3.59942511e-02	1.13888997e-01
24	1.03023360e+15	2.98100000e+08	4.96363665e-14	4.47623198e-08	9.03883375e-01	9.61165800e-02	1.23173318e-01
25	1.07205120e+15	3.10200000e+08	3.24406301e-14	4.58708864e-08	8.88037641e-01	1.11962313e-01	1.32644493e-01
26	1.10661120e+15	3.20200000e+08	4.72678881e-14	4.72975117e-08	8.75047141e-01	1.24952811e-01	1.44892666e-01
27	1.15119360e+15	3.33100000e+08	3.43485428e-14	4.81565410e-08	8.06390709e-01	1.93609243e-01	1.57224171e-01
28	1.20096000e+15	3.47500000e+08	2.87217122e-14	5.26928729e-08	7.40420922e-01	2.59579025e-01	1.69716914e-01
29	1.22791680e+15	3.55300000e+08	5.03487759e-14	5.66362442e-08	6.79496816e-01	3.20503127e-01	1.82364311e-01
30	1.27595520e+15	3.69200000e+08	1.75434592e-14	6.31698807e-08	6.30218099e-01	3.69781838e-01	1.90710657e-01
31	1.28977920e+15	3.73200000e+08	5.98303414e-14	6.89370719e-08	5.93771958e-01	4.06227973e-01	1.99310646e-01
32	1.32744960e+15	3.84100000e+08	2.06067079e-14	7.51721298e-08	5.61184816e-01	4.38815109e-01	2.07709834e-01
33	1.34507520e+15	3.89200000e+08	4.26355521e-14	8.27532196e-08	5.29830709e-01	4.70169209e-01	2.16187585e-01
34	1.37687040e+15	3.98400000e+08	2.31283294e-14	9.11680205e-08	5.00830414e-01	4.99169495e-01	2.24793550e-01
35	1.39553280e+15	4.03800000e+08	3.79447398e-14	1.00851127e-07	4.72556033e-01	5.27443866e-01	2.33390680e-01
36	1.42905600e+15	4.13500000e+08	2.04519714e-14	1.12365276e-07	4.46241608e-01	5.53758279e-01	2.42030936e-01
37	1.44979200e+15	4.19500000e+08	3.21855220e-14	1.26079073e-07	4.20884336e-01	5.79115538e-01	2.50767599e-01
38	1.48642560e+15	4.30100000e+08	2.77449325e-14	1.43704916e-07	3.93451207e-01	6.06548649e-01	2.64608915e-01
39	1.52720640e+15	4.41900000e+08	2.41245863e-14	1.74570231e-07	3.60424799e-01	6.39575026e-01	2.78722510e-01
40	1.56211200e+15	4.52000000e+08	2.66078409e-14	2.19059555e-07	3.29630271e-01	6.70369510e-01	2.92723658e-01
41	1.61153280e+15	4.66300000e+08	1.78850847e-14	2.82586456e-07	3.02765664e-01	6.97234053e-01	3.06786322e-01
42	1.63226880e+15	4.72300000e+08	2.49694644e-14	3.62998974e-07	2.81486948e-01	7.18512689e-01	3.15391578e-01
43	1.66752000e+15	4.82500000e+08	1.41095470e-14	4.41677462e-07	2.68614698e-01	7.31384860e-01	3.23946004e-01
44	1.68099840e+15	4.86400000e+08	3.56538172e-14	5.47456150e-07	2.55180862e-01	7.44818591e-01	3.32456741e-01
45	1.71659520e+15	4.96700000e+08	1.31687765e-14	6.90570442e-07	2.43419733e-01	7.56579577e-01	3.41004066e-01
46	1.73214720e+15	5.01200000e+08	2.94472729e-14	8.99562155e-07	2.32782512e-01	7.67216588e-01	3.49607481e-01
47	1.76359680e+15	5.10300000e+08	1.41371563e-14	1.22763430e-06	2.23258911e-01	7.76739861e-01	3.58189377e-01
48	1.77914880e+15	5.14800000e+08	2.77661425e-14	1.82745257e-06	2.13736948e-01	7.86261224e-01	3.66749887e-01
49	1.81094400e+15	5.24000000e+08	1.27990745e-14	3.11931036e-06	2.05329747e-01	7.94667134e-01	3.75034608e-01
50	1.83617280e+15	5.31300000e+08	2.87505131e-14	1.01477287e-05	1.94092475e-01	8.05897377e-01	3.90273857e-01
51	1.88870400e+15	5.46500000e+08	1.27039002e-14	3.15015606e-04	1.80590310e-01	8.19094674e-01	4.04899740e-01
52	1.91704320e+15	5.54700000e+08	2.35707363e-14	8.91882210e-04	1.68570751e-01	8.30537367e-01	4.20181161e-01
53	1.97026560e+15	5.70100000e+08	1.13580853e-14	1.44048558e-03	1.58298186e-01	8.40261328e-01	4.34610282e-01
54	1.99445760e+15	5.77100000e+08	1.49258193e-14	1.90965015e-03	1.50646104e-01	8.47444246e-01	4.43575403e-01
55	2.02901760e+15	5.87100000e+08	1.00488592e-14	2.23825018e-03	1.45668757e-01	8.52092992e-01	4.52455525e-01
56	2.04387840e+15	5.91400000e+08	2.13955038e-14	2.54567228e-03	1.40914375e-01	8.56539953e-01	4.60786357e-01
57	2.07774720e+15	6.01200000e+08	9.22250288e-15	2.84285382e-03	1.36708559e-01	8.60448587e-01	4.69167641e-01
58	2.09433600e+15	6.06000000e+08	1.99061623e-14	3.13441840e-03	1.32681149e-01	8.64184433e-01	4.78246386e-01
59	2.12578560e+15	6.15100000e+08	9.45756988e-15	3.42234769e-03	1.29022931e-01	8.67554721e-01	4.86613347e-01
60	2.14755840e+15	6.21400000e+08	1.39140121e-14	3.71267467e-03	1.25444289e-01	8.70843036e-01	4.95351531e-01
61	2.17589760e+15	6.29600000e+08	1.02015927e-14	3.99157591e-03	1.22165568e-01	8.73842856e-01	5.03887228e-01
62	2.20838400e+15	6.39000000e+08	1.30127910e-14	4.31194435e-03	1.18450006e-01	8.77238050e-01	5.16722112e-01
63	2.23948800e+15	6.48000000e+08	1.30057918e-14	4.71686591e-03	1.14161923e-01	8.81121211e-01	5.29363064e-01
64	2.28268800e+15	6.60500000e+08	9.31160678e-15	5.12309484e-03	1.10288709e-01	8.84588196e-01	5.42356727e-01
65	2.31690240e+15	6.70400000e+08	1.11721380e-14	5.53123116e-03	1.06765595e-01	8.87703174e-01	5.55130130e-01
66	2.35906560e+15	6.82600000e+08	8.75536394e-15	5.93819251e-03	1.03531036e-01	8.90530771e-01	5.67879176e-01
67	2.39915520e+15	6.94200000e+08	9.03709736e-15	6.32697178e-03	1.00646181e-01	8.93026847e-01	5.80835304e-01
68	2.43406080e+15	7.04300000e+08	9.89895514e-15	6.72642725e-03	9.80110702e-02	8.95262503e-01	5.93584404e-01
