# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 1.0000000000000000e+02
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
1	1.08000000e+13	1.25000000e+06	1.77942528e-14	5.38048958e-11	1.00000000e+00	0.00000000e+00	4.72068311e-08
2	2.22652800e+13	2.57700000e+06	2.30078827e-14	1.13964761e-10	1.00000000e+00	0.00000000e+00	5.20997647e-07
3	1.19059200e+14	1.37800000e+07	2.11814156e-14	8.23026945e-11	1.00000000e+00	0.00000000e+00	7.53117593e-05
4	2.25763200e+14	2.61300000e+07	7.19924459e-15	8.87091341e-11	1.00000000e+00	0.00000000e+00	2.24185899e-04
5	3.32294400e+14	3.84600000e+07	7.43953519e-15	9.75362303e-11	1.00000000e+00	0.00000000e+00	6.18769853e-04
6	4.25692800e+14	4.92700000e+07	5.39502948e-15	8.71965988e-11	1.00000000e+00	0.00000000e+00	1.07835343e-03
7	5.48899200e+14	6.35300000e+07	8.50733480e-15	3.84570788e-10	1.00000000e+00	0.00000000e+00	2.65921922e-03
8	6.85929600e+14	7.93900000e+07	5.52126950e-15	3.65034386e-10	1.00000000e+00	0.00000000e+00	4.48885032e-03
9	8.72640000e+14	1.01000000e+08	6.21749175e-15	6.24406172e-10	9.99999999e-01	0.00000000e+00	8.96416726e-03
10	1.06272000e+15	1.23000000e+08	7.87640020e-15	4.01723184e-09	9.99999996e-01	0.00000000e+00	1.78499763e-02
11	1.37030400e+15	1.58600000e+08	3.50723499e-15	6.70081052e-09	9.99982641e-01	1.73524777e-05	2.79901172e-02
12	1.48867200e+15	1.72300000e+08	5.06544184e-15	1.06386279e-08	9.99941530e-01	5.84593067e-05	3.57353741e-02
13	1.66320000e+15	1.92500000e+08	2.97314008e-15	1.37050061e-08	9.99894902e-01	1.05083816e-04	4.38857260e-02
14	1.73923200e+15	2.01300000e+08	4.12281798e-15	1.60829120e-08	9.99831358e-01	1.68626228e-04	4.96183949e-02
15	1.85328000e+15	2.14500000e+08	2.75929037e-15	1.80057375e-08	9.99720867e-01	2.79115012e-04	5.60355494e-02
16	1.90771200e+15	2.20800000e+08	5.15113834e-15	2.02323079e-08	9.99479971e-01	5.20009053e-04	6.23003570e-02
