# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 2.0000000000000000e+02
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
45	8.58297600e+15	4.96700000e+08	1.05350212e-16	6.90570442e-07	2.43419733e-01	7.56579577e-01	3.41004066e-01
46	8.66073600e+15	5.01200000e+08	2.35578183e-16	8.99562155e-07	2.32782512e-01	7.67216588e-01	3.49607481e-01
47	8.81798400e+15	5.10300000e+08	1.13097251e-16	1.22763430e-06	2.23258911e-01	7.76739861e-01	3.58189377e-01
48	8.89574400e+15	5.14800000e+08	2.22129140e-16	1.82745257e-06	2.13736948e-01	7.86261224e-01	3.66749887e-01
49	9.05472000e+15	5.24000000e+08	1.02392596e-16	3.11931036e-06	2.05329747e-01	7.94667134e-01	3.75034608e-01
50	9.18086400e+15	5.31300000e+08	2.30004104e-16	1.01477287e-05	1.94092475e-01	8.05897377e-01	3.90273857e-01
51	9.44352000e+15	5.46500000e+08	1.01631201e-16	3.15015606e-04	1.80590310e-01	8.19094674e-01	4.04899740e-01
52	9.58521600e+15	5.54700000e+08	1.88565891e-16	8.91882210e-04	1.68570751e-01	8.30537367e-01	4.20181161e-01
53	9.85132800e+15	5.70100000e+08	9.08646822e-17	1.44048558e-03	1.58298186e-01	8.40261328e-01	4.34610282e-01
54	9.97228800e+15	5.77100000e+08	1.19406555e-16	1.90965015e-03	1.50646104e-01	8.47444246e-01	4.43575403e-01
55	1.01450880e+16	5.87100000e+08	8.03908733e-17	2.23825018e-03	1.45668757e-01	8.52092992e-01	4.52455525e-01
56	1.02193920e+16	5.91400000e+08	1.71164030e-16	2.54567228e-03	1.40914375e-01	8.56539953e-01	4.60786357e-01
57	1.03887360e+16	6.01200000e+08	7.37800231e-17	2.84285382e-03	1.36708559e-01	8.60448587e-01	4.69167641e-01
58	1.04716800e+16	6.06000000e+08	1.59249298e-16	3.13441840e-03	1.32681149e-01	8.64184433e-01	4.78246386e-01
59	1.06289280e+16	6.15100000e+08	7.56605590e-17	3.42234769e-03	1.29022931e-01	8.67554721e-01	4.86613347e-01
60	1.07377920e+16	6.21400000e+08	1.11312097e-16	3.71267467e-03	1.25444289e-01	8.70843036e-01	4.95351531e-01
61	1.08794880e+16	6.29600000e+08	8.16127416e-17	3.99157591e-03	1.22165568e-01	8.73842856e-01	5.03887228e-01
62	1.10419200e+16	6.39000000e+08	1.04102328e-16	4.31194435e-03	1.18450006e-01	8.77238050e-01	5.16722112e-01
63	1.11974400e+16	6.48000000e+08	1.04046334e-16	4.71686591e-03	1.14161923e-01	8.81121211e-01	5.29363064e-01
64	1.14134400e+16	6.60500000e+08	7.44928542e-17	5.12309484e-03	1.10288709e-01	8.84588196e-01	5.42356727e-01
65	1.15845120e+16	6.70400000e+08	8.93771042e-17	5.53123116e-03	1.06765595e-01	8.87703174e-01	5.55130130e-01
66	1.17953280e+16	6.82600000e+08	7.00429115e-17	5.93819251e-03	1.03531036e-01	8.90530771e-01	5.67879176e-01
67	1.19957760e+16	6.94200000e+08	7.22967789e-17	6.32697178e-03	1.00646181e-01	8.93026847e-01	5.80835304e-01
68	1.21703040e+16	7.04300000e+08	7.91916411e-17	6.72642725e-03	9.80110702e-02	8.95262503e-01	5.93584404e-01
69	1.23984000e+16	7.17500000e+08	5.73614245e-17	7.11638942e-03	9.56098741e-02	8.97273736e-01	6.06059091e-01
70	1.25712000e+16	7.27500000e+08	9.49657083e-17	7.53021224e-03	9.33752687e-02	8.99094519e-01	6.22219626e-01
71	1.28580480e+16	7.44100000e+08	5.29467432e-17	7.99736180e-03	9.10227532e-02	9.00979885e-01	6.37732478e-01
72	1.30654080e+16	7.56100000e+08	6.99914864e-17	8.47135012e-03	8.89609257e-02	9.02567724e-01	6.53138139e-01
73	1.33367040e+16	7.71800000e+08	5.12303483e-17	8.93931770e-03	8.71465379e-02	9.03914144e-01	6.68441204e-01
74	1.35596160e+16	7.84700000e+08	6.15905342e-17	9.41487627e-03	8.55800364e-02	9.05005087e-01	6.84128864e-01
75	1.38291840e+16	8.00300000e+08	4.69680453e-17	9.87677245e-03	8.42028529e-02	9.05920375e-01	6.99130753e-01
76	1.40641920e+16	8.13900000e+08	5.43146461e-17	1.42447256e-02	8.14351148e-02	9.04320160e-01	7.14817292e-01
77	1.43112960e+16	8.28200000e+08	4.71500638e-17	1.47195777e-02	8.04273770e-02	9.04853045e-01	7.29634787e-01
78	1.45134720e+16	8.39900000e+08	3.32063185e-17	1.51291871e-02	7.96710714e-02	9.05199742e-01	7.38445361e-01
79	1.46655360e+16	8.48700000e+08	4.23838238e-17	1.52726567e-02	7.92605990e-02	9.05466744e-01	7.47112716e-01
80	1.47968640e+16	8.56300000e+08	4.80044523e-17	1.52310279e-02	7.89748900e-02	9.05794082e-01	7.55756285e-01
81	1.49627520e+16	8.65900000e+08	3.78953333e-17	1.47325896e-02	7.88168440e-02	9.06450566e-01	7.64550051e-01
82	1.50768000e+16	8.72500000e+08	5.34823209e-17	1.33663125e-02	7.89706736e-02	9.07663014e-01	7.73243698e-01
83	1.52547840e+16	8.82800000e+08	3.33368076e-17	1.04649882e-02	7.95927011e-02	9.09942311e-01	7.81865841e-01
84	1.53792000e+16	8.90000000e+08	4.36872572e-17	5.26593418e-03	8.09173336e-02	9.13816732e-01	7.89922509e-01
85	1.55381760e+16	8.99200000e+08	3.60236044e-17	1.16434723e-06	8.38106013e-02	9.16188234e-01	7.98569060e-01
86	1.56850560e+16	9.07700000e+08	4.14178579e-17	4.49327982e-08	1.09365715e-01	8.90634240e-01	8.07936573e-01
87	1.58440320e+16	9.16900000e+08	3.99536718e-17	1.71083882e-07	1.32602529e-01	8.67397300e-01	8.17909665e-01
88	1.60168320e+16	9.26900000e+08	3.39380949e-17	3.68405691e-07	1.59319314e-01	8.40680318e-01	8.27312648e-01
89	1.61481600e+16	9.34500000e+08	4.41179441e-17	6.39463327e-07	1.90021661e-01	8.09977700e-01	8.36780621e-01
90	1.63244160e+16	9.44700000e+08	3.20359656e-17	1.01324279e-06	2.27489594e-01	7.72509393e-01	8.46185096e-01
91	1.64764800e+16	9.53500000e+08	3.43506009e-17	1.50208205e-06	2.72280723e-01	7.27717775e-01	8.55061772e-01
92	1.66389120e+16	9.62900000e+08	3.49460854e-17	2.14315237e-06	3.24961810e-01	6.75036047e-01	8.64893922e-01
93	1.67961600e+16	9.72000000e+08	3.18741209e-17	2.73836837e-06	3.70381899e-01	6.29615362e-01	8.73743981e-01
94	1.69724160e+16	9.82200000e+08	4.99513638e-17	4.14753137e-06	4.67338306e-01	5.32657547e-01	8.89601520e-01
95	1.72558080e+16	9.98600000e+08	2.87138607e-17	6.04449224e-06	5.77574366e-01	4.22419590e-01	9.04659715e-01
96	1.75046400e+16	1.01300000e+09	3.36295935e-17	8.91027145e-06	7.05899860e-01	2.94091229e-01	9.20630310e-01
97	1.77638400e+16	1.02800000e+09	3.04127912e-17	1.21099433e-05	8.03610839e-01	1.96377051e-01	9.36118036e-01
98	1.80230400e+16	1.04300000e+09	2.89606317e-17	1.58181359e-05	8.72855349e-01	1.27128833e-01	9.51302987e-01
99	1.83168000e+16	1.06000000e+09	2.37429468e-17	2.03675873e-05	9.20190699e-01	7.97889329e-02	9.65851475e-01
100	1.85068800e+16	1.07100000e+09	1.96875012e-17	2.31349176e-05	9.37237151e-01	6.27397144e-02	9.73866416e-01
101	1.86796800e+16	1.08100000e+09	1.98786796e-17	2.55191270e-05	9.48225383e-01	5.17490982e-02	9.81369183e-01
102	1.88006400e+16	1.08800000e+09	2.78063714e-17	2.70370105e-05	9.53556781e-01	4.64161823e-02	9.88832112e-01
103	1.89734400e+16	1.09800000e+09	1.98522387e-17	2.84887349e-05	9.57989953e-01	4.19815578e-02	9.96563530e-01
104	1.91116800e+16	1.10600000e+09	2.58661784e-17	3.03311697e-05	9.62675701e-01	3.72939681e-02	1.00475560e+00
105	1.93017600e+16	1.11700000e+09	1.88682353e-17	3.20354969e-05	9.66133161e-01	3.38348031e-02	1.01311457e+00
106	1.94572800e+16	1.12600000e+09	2.27429800e-17	3.42161580e-05	9.69708183e-01	3.02576006e-02	1.02150718e+00
107	1.96473600e+16	1.13700000e+09	1.86371596e-17	3.66859952e-05	9.72895328e-01	2.70679858e-02	1.03006358e+00
108	1.98201600e+16	1.14700000e+09	1.96601384e-17	3.99162612e-05	9.76822663e-01	2.31374204e-02	1.03842207e+00
109	2.00275200e+16	1.15900000e+09	1.61867621e-17	4.50504240e-05	9.82491609e-01	1.74633406e-02	1.04684010e+00
110	2.02176000e+16	1.17000000e+09	1.73711950e-17	9.19565081e-05	9.91230568e-01	8.67747559e-03	1.05528726e+00
111	2.04076800e+16	1.18100000e+09	1.71548046e-17	9.01335549e-04	9.97115029e-01	1.98363564e-03	1.06378754e+00
112	2.06323200e+16	1.19400000e+09	1.50228602e-17	3.49557286e-03	9.96369023e-01	1.35404576e-04	1.07276542e+00
113	2.08396800e+16	1.20600000e+09	1.58639665e-17	2.30938754e-02	9.76894784e-01	1.13403283e-05	1.08170188e+00
114	2.10643200e+16	1.21900000e+09	1.49119893e-17	3.50618988e-02	9.64938101e-01	0.00000000e+00	1.09099267e+00
115	2.13062400e+16	1.23300000e+09	1.28280771e-17	4.72095636e-02	9.52790436e-01	0.00000000e+00	1.09979265e+00
116	2.15308800e+16	1.24600000e+09	1.39199923e-17	6.72747010e-02	9.32725299e-01	0.00000000e+00	1.10885594e+00
117	2.17728000e+16	1.26000000e+09	1.24484159e-17	9.01214652e-02	9.09878535e-01	0.00000000e+00	1.11777573e+00
118	2.20147200e+16	1.27400000e+09	1.27294560e-17	1.33146151e-01	8.66853849e-01	0.00000000e+00	1.12710187e+00
119	2.22393600e+16	1.28700000e+09	1.26688501e-17	1.81866699e-01	8.18133301e-01	0.00000000e+00	1.13590526e+00
120	2.24467200e+16	1.29900000e+09	1.02762697e-17	2.45102137e-01	7.54897863e-01	0.00000000e+00	1.14262609e+00
121	2.26022400e+16	1.30800000e+09	1.32899114e-17	3.34394655e-01	6.65605345e-01	0.00000000e+00	1.14925123e+00
122	2.27577600e+16	1.31700000e+09	1.29439617e-17	5.09077873e-01	4.90922127e-01	0.00000000e+00	1.15579331e+00
123	2.29132800e+16	1.32600000e+09	1.26767481e-17	6.51221493e-01	3.48778507e-01	0.00000000e+00	1.16228852e+00
124	2.30688000e+16	1.33500000e+09	1.27402167e-17	6.78300692e-01	3.21699308e-01	0.00000000e+00	1.16890545e+00
125	2.31897600e+16	1.34200000e+09	1.61020552e-17	6.95324327e-01	3.04675673e-01	0.00000000e+00	1.17548845e+00
126	2.33280000e+16	1.35000000e+09	1.39506156e-17	7.07219004e-01	2.92780996e-01	0.00000000e+00	1.18207990e+00
127	2.34835200e+16	1.35900000e+09	1.21174983e-17	7.14244535e-01	2.85755465e-01	0.00000000e+00	1.18860251e+00
128	2.36044800e+16	1.36600000e+09	1.55762827e-17	7.19361349e-01	2.80638651e-01	0.00000000e+00	1.19520096e+00
129	2.37427200e+16	1.37400000e+09	1.23535140e-17	7.24203300e-01	2.75796700e-01	0.00000000e+00	1.20124781e+00
130	2.38809600e+16	1.38200000e+09	1.27019513e-17	7.29880640e-01	2.70119360e-01	0.00000000e+00	1.20753804e+00
131	2.40192000e+16	1.39000000e+09	1.49365147e-17	7.33543381e-01	2.66456619e-01	0.00000000e+00	1.21502100e+00
132	2.41747200e+16	1.39900000e+09	1.11351902e-17	7.34586272e-01	2.65413728e-01	0.00000000e+00	1.22137409e+00
