# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 1.2000000000000000e+02
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
1	1.29600000e+13	1.25000000e+06	1.02976000e-14	5.38048958e-11	1.00000000e+00	0.00000000e+00	4.72068311e-08
2	2.67183360e+13	2.57700000e+06	1.33147470e-14	1.13964761e-10	1.00000000e+00	0.00000000e+00	5.20997647e-07
3	1.42871040e+14	1.37800000e+07	1.22577637e-14	8.23026945e-11	1.00000000e+00	0.00000000e+00	7.53117593e-05
4	2.70915840e+14	2.61300000e+07	4.16622951e-15	8.87091341e-11	1.00000000e+00	0.00000000e+00	2.24185899e-04
5	3.98753280e+14	3.84600000e+07	4.30528657e-15	9.75362303e-11	1.00000000e+00	0.00000000e+00	6.18769853e-04
6	5.10831360e+14	4.92700000e+07	3.12212354e-15	8.71965988e-11	1.00000000e+00	0.00000000e+00	1.07835343e-03
7	6.58679040e+14	6.35300000e+07	4.92322615e-15	3.84570788e-10	1.00000000e+00	0.00000000e+00	2.65921922e-03
8	8.23115520e+14	7.93900000e+07	3.19517911e-15	3.65034386e-10	1.00000000e+00	0.00000000e+00	4.48885032e-03
9	1.04716800e+15	1.01000000e+08	3.59808550e-15	6.24406172e-10	9.99999999e-01	0.00000000e+00	8.96416726e-03
10	1.27526400e+15	1.23000000e+08	4.55810197e-15	4.01723184e-09	9.99999996e-01	0.00000000e+00	1.78499763e-02
11	1.64436480e+15	1.58600000e+08	2.02964988e-15	6.70081052e-09	9.99982641e-01	1.73524777e-05	2.79901172e-02
12	1.78640640e+15	1.72300000e+08	2.93138995e-15	1.06386279e-08	9.99941530e-01	5.84593067e-05	3.57353741e-02
13	1.99584000e+15	1.92500000e+08	1.72056717e-15	1.37050061e-08	9.99894902e-01	1.05083816e-04	4.38857260e-02
14	2.08707840e+15	2.01300000e+08	2.38589003e-15	1.60829120e-08	9.99831358e-01	1.68626228e-04	4.96183949e-02
15	2.22393600e+15	2.14500000e+08	1.59681156e-15	1.80057375e-08	9.99720867e-01	2.79115012e-04	5.60355494e-02
16	2.28925440e+15	2.20800000e+08	2.98098284e-15	2.02323079e-08	9.99479971e-01	5.20009053e-04	6.23003570e-02
17	2.42507520e+15	2.33900000e+08	1.35940531e-15	2.16048831e-08	9.99360273e-01	6.39704907e-04	6.87835711e-02
18	2.48209920e+15	2.39400000e+08	3.06776102e-15	2.48469007e-08	9.98576139e-01	1.42383601e-03	7.54374796e-02
19	2.61480960e+15	2.52200000e+08	1.26158727e-15	2.59042218e-08	9.98194375e-01	1.80559882e-03	8.23089425e-02
20	2.67701760e+15	2.58200000e+08	2.35870775e-15	2.78928648e-08	9.97464939e-01	2.53503299e-03	8.87992725e-02
21	2.79210240e+15	2.69300000e+08	1.23244221e-15	3.83916357e-08	9.83805864e-01	1.61940975e-02	9.55011830e-02
22	2.86260480e+15	2.76100000e+08	2.57787019e-15	4.17030595e-08	9.76472271e-01	2.35276873e-02	1.04680762e-01
23	3.00464640e+15	2.89800000e+08	1.19204199e-15	4.50167208e-08	9.64005704e-01	3.59942511e-02	1.13888997e-01
24	3.09070080e+15	2.98100000e+08	1.83838395e-15	4.47623198e-08	9.03883375e-01	9.61165800e-02	1.23173318e-01
25	3.21615360e+15	3.10200000e+08	1.20150482e-15	4.58708864e-08	8.88037641e-01	1.11962313e-01	1.32644493e-01
