# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 3.0000000000000000e+01
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
1	3.24000000e+12	1.25000000e+06	6.59046399e-13	5.38048958e-11	1.00000000e+00	0.00000000e+00	4.72068311e-08
2	6.67958400e+12	2.57700000e+06	8.52143805e-13	1.13964761e-10	1.00000000e+00	0.00000000e+00	5.20997647e-07
3	3.57177600e+13	1.37800000e+07	7.84496874e-13	8.23026945e-11	1.00000000e+00	0.00000000e+00	7.53117593e-05
4	6.77289600e+13	2.61300000e+07	2.66638689e-13	8.87091341e-11	1.00000000e+00	0.00000000e+00	2.24185899e-04
5	9.96883200e+13	3.84600000e+07	2.75538340e-13	9.75362303e-11	1.00000000e+00	0.00000000e+00	6.18769853e-04
6	1.27707840e+14	4.92700000e+07	1.99815907e-13	8.71965988e-11	1.00000000e+00	0.00000000e+00	1.07835343e-03
7	1.64669760e+14	6.35300000e+07	3.15086474e-13	3.84570788e-10	1.00000000e+00	0.00000000e+00	2.65921922e-03
8	2.05778880e+14	7.93900000e+07	2.04491463e-13	3.65034386e-10	1.00000000e+00	0.00000000e+00	4.48885032e-03
9	2.61792000e+14	1.01000000e+08	2.30277472e-13	6.24406172e-10	9.99999999e-01	0.00000000e+00	8.96416726e-03
10	3.18816000e+14	1.23000000e+08	2.91718526e-13	4.01723184e-09	9.99999996e-01	0.00000000e+00	1.78499763e-02
11	4.11091200e+14	1.58600000e+08	1.29897592e-13	6.70081052e-09	9.99982641e-01	1.73524777e-05	2.79901172e-02
12	4.46601600e+14	1.72300000e+08	1.87608957e-13	1.06386279e-08	9.99941530e-01	5.84593067e-05	3.57353741e-02
13	4.98960000e+14	1.92500000e+08	1.10116299e-13	1.37050061e-08	9.99894902e-01	1.05083816e-04	4.38857260e-02
14	5.21769600e+14	2.01300000e+08	1.52696962e-13	1.60829120e-08	9.99831358e-01	1.68626228e-04	4.96183949e-02
15	5.55984000e+14	2.14500000e+08	1.02195940e-13	1.80057375e-08	9.99720867e-01	2.79115012e-04	5.60355494e-02
16	5.72313600e+14	2.20800000e+08	1.90782902e-13	2.02323079e-08	9.99479971e-01	5.20009053e-04	6.23003570e-02
17	6.06268800e+14	2.33900000e+08	8.70019401e-14	2.16048831e-08	9.99360273e-01	6.39704907e-04	6.87835711e-02
18	6.20524800e+14	2.39400000e+08	1.96336705e-13	2.48469007e-08	9.98576139e-01	1.42383601e-03	7.54374796e-02
19	6.53702400e+14	2.52200000e+08	8.07415855e-14	2.59042218e-08	9.98194375e-01	1.80559882e-03	8.23089425e-02
20	6.69254400e+14	2.58200000e+08	1.50957296e-13	2.78928648e-08	9.97464939e-01	2.53503299e-03	8.87992725e-02
