# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 8.0000000000000000e+01
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
1	8.64000000e+12	1.25000000e+06	3.47543999e-14	5.38048958e-11	1.00000000e+00	0.00000000e+00	4.72068311e-08
2	1.78122240e+13	2.57700000e+06	4.49372710e-14	1.13964761e-10	1.00000000e+00	0.00000000e+00	5.20997647e-07
3	9.52473600e+13	1.37800000e+07	4.13699524e-14	8.23026945e-11	1.00000000e+00	0.00000000e+00	7.53117593e-05
4	1.80610560e+14	2.61300000e+07	1.40610246e-14	8.87091341e-11	1.00000000e+00	0.00000000e+00	2.24185899e-04
5	2.65835520e+14	3.84600000e+07	1.45303422e-14	9.75362303e-11	1.00000000e+00	0.00000000e+00	6.18769853e-04
6	3.40554240e+14	4.92700000e+07	1.05371670e-14	8.71965988e-11	1.00000000e+00	0.00000000e+00	1.07835343e-03
7	4.39119360e+14	6.35300000e+07	1.66158883e-14	3.84570788e-10	1.00000000e+00	0.00000000e+00	2.65921922e-03
8	5.48743680e+14	7.93900000e+07	1.07837295e-14	3.65034386e-10	1.00000000e+00	0.00000000e+00	4.48885032e-03
9	6.98112000e+14	1.01000000e+08	1.21435386e-14	6.24406172e-10	9.99999999e-01	0.00000000e+00	8.96416726e-03
10	8.50176000e+14	1.23000000e+08	1.53835941e-14	4.01723184e-09	9.99999996e-01	0.00000000e+00	1.78499763e-02
11	1.09624320e+15	1.58600000e+08	6.85006833e-15	6.70081052e-09	9.99982641e-01	1.73524777e-05	2.79901172e-02
12	1.19093760e+15	1.72300000e+08	9.89344109e-15	1.06386279e-08	9.99941530e-01	5.84593067e-05	3.57353741e-02
13	1.33056000e+15	1.92500000e+08	5.80691421e-15	1.37050061e-08	9.99894902e-01	1.05083816e-04	4.38857260e-02
14	1.39138560e+15	2.01300000e+08	8.05237887e-15	1.60829120e-08	9.99831358e-01	1.68626228e-04	4.96183949e-02
15	1.48262400e+15	2.14500000e+08	5.38923901e-15	1.80057375e-08	9.99720867e-01	2.79115012e-04	5.60355494e-02
16	1.52616960e+15	2.20800000e+08	1.00608171e-14	2.02323079e-08	9.99479971e-01	5.20009053e-04	6.23003570e-02
