# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 7.0000000000000000e+01
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
1	7.56000000e+12	1.25000000e+06	5.18782880e-14	5.38048958e-11	1.00000000e+00	0.00000000e+00	4.72068311e-08
2	1.55856960e+13	2.57700000e+06	6.70783753e-14	1.13964761e-10	1.00000000e+00	0.00000000e+00	5.20997647e-07
3	8.33414400e+13	1.37800000e+07	6.17533983e-14	8.23026945e-11	1.00000000e+00	0.00000000e+00	7.53117593e-05
4	1.58034240e+14	2.61300000e+07	2.09890513e-14	8.87091341e-11	1.00000000e+00	0.00000000e+00	2.24185899e-04
5	2.32606080e+14	3.84600000e+07	2.16896070e-14	9.75362303e-11	1.00000000e+00	0.00000000e+00	6.18769853e-04
6	2.97984960e+14	4.92700000e+07	1.57289489e-14	8.71965988e-11	1.00000000e+00	0.00000000e+00	1.07835343e-03
7	3.84229440e+14	6.35300000e+07	2.48027254e-14	3.84570788e-10	1.00000000e+00	0.00000000e+00	2.65921922e-03
8	4.80150720e+14	7.93900000e+07	1.60969956e-14	3.65034386e-10	1.00000000e+00	0.00000000e+00	4.48885032e-03
9	6.10848000e+14	1.01000000e+08	1.81267981e-14	6.24406172e-10	9.99999999e-01	0.00000000e+00	8.96416726e-03
10	7.43904000e+14	1.23000000e+08	2.29632659e-14	4.01723184e-09	9.99999996e-01	0.00000000e+00	1.78499763e-02
11	9.59212800e+14	1.58600000e+08	1.02251749e-14	6.70081052e-09	9.99982641e-01	1.73524777e-05	2.79901172e-02
12	1.04207040e+15	1.72300000e+08	1.47680520e-14	1.06386279e-08	9.99941530e-01	5.84593067e-05	3.57353741e-02
13	1.16424000e+15	1.92500000e+08	8.66804687e-15	1.37050061e-08	9.99894902e-01	1.05083816e-04	4.38857260e-02
14	1.21746240e+15	2.01300000e+08	1.20198775e-14	1.60829120e-08	9.99831358e-01	1.68626228e-04	4.96183949e-02
15	1.29729600e+15	2.14500000e+08	8.04457835e-15	1.80057375e-08	9.99720867e-01	2.79115012e-04	5.60355494e-02
16	1.33539840e+15	2.20800000e+08	1.50178960e-14	2.02323079e-08	9.99479971e-01	5.20009053e-04	6.23003570e-02
17	1.41462720e+15	2.33900000e+08	6.84854922e-15	2.16048831e-08	9.99360273e-01	6.39704907e-04	6.87835711e-02
18	1.44789120e+15	2.39400000e+08	1.54550759e-14	2.48469007e-08	9.98576139e-01	1.42383601e-03	7.54374796e-02
19	1.52530560e+15	2.52200000e+08	6.35575163e-15	2.59042218e-08	9.98194375e-01	1.80559882e-03	8.23089425e-02
20	1.56159360e+15	2.58200000e+08	1.18829359e-14	2.78928648e-08	9.97464939e-01	2.53503299e-03	8.87992725e-02
21	1.62872640e+15	2.69300000e+08	6.20892170e-15	3.83916357e-08	9.83805864e-01	1.61940975e-02	9.55011830e-02
22	1.66985280e+15	2.76100000e+08	1.29870545e-14	4.17030595e-08	9.76472271e-01	2.35276873e-02	1.04680762e-01
23	1.75271040e+15	2.89800000e+08	6.00538938e-15	4.50167208e-08	9.64005704e-01	3.59942511e-02	1.13888997e-01
24	1.80290880e+15	2.98100000e+08	9.26159609e-15	4.47623198e-08	9.03883375e-01	9.61165800e-02	1.23173318e-01
25	1.87608960e+15	3.10200000e+08	6.05306218e-15	4.58708864e-08	8.88037641e-01	1.11962313e-01	1.32644493e-01
26	1.93656960e+15	3.20200000e+08	8.81966426e-15	4.72975117e-08	8.75047141e-01	1.24952811e-01	1.44892666e-01
27	2.01458880e+15	3.33100000e+08	6.40905755e-15	4.81565410e-08	8.06390709e-01	1.93609243e-01	1.57224171e-01
28	2.10168000e+15	3.47500000e+08	5.35915329e-15	5.26928729e-08	7.40420922e-01	2.59579025e-01	1.69716914e-01
29	2.14885440e+15	3.55300000e+08	9.39452378e-15	5.66362442e-08	6.79496816e-01	3.20503127e-01	1.82364311e-01
30	2.23292160e+15	3.69200000e+08	3.27341513e-15	6.31698807e-08	6.30218099e-01	3.69781838e-01	1.90710657e-01
31	2.25711360e+15	3.73200000e+08	1.11636789e-14	6.89370719e-08	5.93771958e-01	4.06227973e-01	1.99310646e-01
32	2.32303680e+15	3.84100000e+08	3.84498340e-15	7.51721298e-08	5.61184816e-01	4.38815109e-01	2.07709834e-01
33	2.35388160e+15	3.89200000e+08	7.95532167e-15	8.27532196e-08	5.29830709e-01	4.70169209e-01	2.16187585e-01
34	2.40952320e+15	3.98400000e+08	4.31549003e-15	9.11680205e-08	5.00830414e-01	4.99169495e-01	2.24793550e-01
35	2.44218240e+15	4.03800000e+08	7.08006808e-15	1.00851127e-07	4.72556033e-01	5.27443866e-01	2.33390680e-01
36	2.50084800e+15	4.13500000e+08	3.81611128e-15	1.12365276e-07	4.46241608e-01	5.53758279e-01	2.42030936e-01
37	2.53713600e+15	4.19500000e+08	6.00546184e-15	1.26079073e-07	4.20884336e-01	5.79115538e-01	2.50767599e-01
38	2.60124480e+15	4.30100000e+08	5.17689703e-15	1.43704916e-07	3.93451207e-01	6.06548649e-01	2.64608915e-01
39	2.67261120e+15	4.41900000e+08	4.50138053e-15	1.74570231e-07	3.60424799e-01	6.39575026e-01	2.78722510e-01
40	2.73369600e+15	4.52000000e+08	4.96472834e-15	2.19059555e-07	3.29630271e-01	6.70369510e-01	2.92723658e-01
41	2.82018240e+15	4.66300000e+08	3.33715867e-15	2.82586456e-07	3.02765664e-01	6.97234053e-01	3.06786322e-01
42	2.85647040e+15	4.72300000e+08	4.65902543e-15	3.62998974e-07	2.81486948e-01	7.18512689e-01	3.15391578e-01
43	2.91816000e+15	4.82500000e+08	2.63268515e-15	4.41677462e-07	2.68614698e-01	7.31384860e-01	3.23946004e-01
44	2.94174720e+15	4.86400000e+08	6.65260730e-15	5.47456150e-07	2.55180862e-01	7.44818591e-01	3.32456741e-01
45	3.00404160e+15	4.96700000e+08	2.45714780e-15	6.90570442e-07	2.43419733e-01	7.56579577e-01	3.41004066e-01
46	3.03125760e+15	5.01200000e+08	5.49453488e-15	8.99562155e-07	2.32782512e-01	7.67216588e-01	3.49607481e-01
47	3.08629440e+15	5.10300000e+08	2.63783675e-15	1.22763430e-06	2.23258911e-01	7.76739861e-01	3.58189377e-01
48	3.11351040e+15	5.14800000e+08	5.18085459e-15	1.82745257e-06	2.13736948e-01	7.86261224e-01	3.66749887e-01
49	3.16915200e+15	5.24000000e+08	2.38816550e-15	3.11931036e-06	2.05329747e-01	7.94667134e-01	3.75034608e-01
50	3.21330240e+15	5.31300000e+08	5.36452722e-15	1.01477287e-05	1.94092475e-01	8.05897377e-01	3.90273857e-01
51	3.30523200e+15	5.46500000e+08	2.37040703e-15	3.15015606e-04	1.80590310e-01	8.19094674e-01	4.04899740e-01
52	3.35482560e+15	5.54700000e+08	4.39803827e-15	8.91882210e-04	1.68570751e-01	8.30537367e-01	4.20181161e-01
