# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 5.0000000000000000e+01
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
1	5.40000000e+12	1.25000000e+06	1.42354022e-13	5.38048958e-11	1.00000000e+00	0.00000000e+00	4.72068311e-08
2	1.11326400e+13	2.57700000e+06	1.84063062e-13	1.13964761e-10	1.00000000e+00	0.00000000e+00	5.20997647e-07
3	5.95296000e+13	1.37800000e+07	1.69451325e-13	8.23026945e-11	1.00000000e+00	0.00000000e+00	7.53117593e-05
4	1.12881600e+14	2.61300000e+07	5.75939567e-14	8.87091341e-11	1.00000000e+00	0.00000000e+00	2.24185899e-04
5	1.66147200e+14	3.84600000e+07	5.95162815e-14	9.75362303e-11	1.00000000e+00	0.00000000e+00	6.18769853e-04
6	2.12846400e+14	4.92700000e+07	4.31602358e-14	8.71965988e-11	1.00000000e+00	0.00000000e+00	1.07835343e-03
7	2.74449600e+14	6.35300000e+07	6.80586784e-14	3.84570788e-10	1.00000000e+00	0.00000000e+00	2.65921922e-03
8	3.42964800e+14	7.93900000e+07	4.41701560e-14	3.65034386e-10	1.00000000e+00	0.00000000e+00	4.48885032e-03
9	4.36320000e+14	1.01000000e+08	4.97399340e-14	6.24406172e-10	9.99999999e-01	0.00000000e+00	8.96416726e-03
10	5.31360000e+14	1.23000000e+08	6.30112016e-14	4.01723184e-09	9.99999996e-01	0.00000000e+00	1.78499763e-02
11	6.85152000e+14	1.58600000e+08	2.80578799e-14	6.70081052e-09	9.99982641e-01	1.73524777e-05	2.79901172e-02
12	7.44336000e+14	1.72300000e+08	4.05235347e-14	1.06386279e-08	9.99941530e-01	5.84593067e-05	3.57353741e-02
13	8.31600000e+14	1.92500000e+08	2.37851206e-14	1.37050061e-08	9.99894902e-01	1.05083816e-04	4.38857260e-02
14	8.69616000e+14	2.01300000e+08	3.29825438e-14	1.60829120e-08	9.99831358e-01	1.68626228e-04	4.96183949e-02
15	9.26640000e+14	2.14500000e+08	2.20743230e-14	1.80057375e-08	9.99720867e-01	2.79115012e-04	5.60355494e-02
16	9.53856000e+14	2.20800000e+08	4.12091067e-14	2.02323079e-08	9.99479971e-01	5.20009053e-04	6.23003570e-02
17	1.01044800e+15	2.33900000e+08	1.87924191e-14	2.16048831e-08	9.99360273e-01	6.39704907e-04	6.87835711e-02
18	1.03420800e+15	2.39400000e+08	4.24087283e-14	2.48469007e-08	9.98576139e-01	1.42383601e-03	7.54374796e-02
19	1.08950400e+15	2.52200000e+08	1.74401825e-14	2.59042218e-08	9.98194375e-01	1.80559882e-03	8.23089425e-02
20	1.11542400e+15	2.58200000e+08	3.26067760e-14	2.78928648e-08	9.97464939e-01	2.53503299e-03	8.87992725e-02
21	1.16337600e+15	2.69300000e+08	1.70372812e-14	3.83916357e-08	9.83805864e-01	1.61940975e-02	9.55011830e-02
22	1.19275200e+15	2.76100000e+08	3.56364775e-14	4.17030595e-08	9.76472271e-01	2.35276873e-02	1.04680762e-01
23	1.25193600e+15	2.89800000e+08	1.64787884e-14	4.50167208e-08	9.64005704e-01	3.59942511e-02	1.13888997e-01
24	1.28779200e+15	2.98100000e+08	2.54138197e-14	4.47623198e-08	9.03883375e-01	9.61165800e-02	1.23173318e-01
25	1.34006400e+15	3.10200000e+08	1.66096026e-14	4.58708864e-08	8.88037641e-01	1.11962313e-01	1.32644493e-01
26	1.38326400e+15	3.20200000e+08	2.42011587e-14	4.72975117e-08	8.75047141e-01	1.24952811e-01	1.44892666e-01
27	1.43899200e+15	3.33100000e+08	1.75864539e-14	4.81565410e-08	8.06390709e-01	1.93609243e-01	1.57224171e-01
28	1.50120000e+15	3.47500000e+08	1.47055166e-14	5.26928729e-08	7.40420922e-01	2.59579025e-01	1.69716914e-01
29	1.53489600e+15	3.55300000e+08	2.57785732e-14	5.66362442e-08	6.79496816e-01	3.20503127e-01	1.82364311e-01
30	1.59494400e+15	3.69200000e+08	8.98225111e-15	6.31698807e-08	6.30218099e-01	3.69781838e-01	1.90710657e-01
31	1.61222400e+15	3.73200000e+08	3.06331348e-14	6.89370719e-08	5.93771958e-01	4.06227973e-01	1.99310646e-01
32	1.65931200e+15	3.84100000e+08	1.05506345e-14	7.51721298e-08	5.61184816e-01	4.38815109e-01	2.07709834e-01
33	1.68134400e+15	3.89200000e+08	2.18294027e-14	8.27532196e-08	5.29830709e-01	4.70169209e-01	2.16187585e-01
34	1.72108800e+15	3.98400000e+08	1.18417047e-14	9.11680205e-08	5.00830414e-01	4.99169495e-01	2.24793550e-01
35	1.74441600e+15	4.03800000e+08	1.94277068e-14	1.00851127e-07	4.72556033e-01	5.27443866e-01	2.33390680e-01
36	1.78632000e+15	4.13500000e+08	1.04714094e-14	1.12365276e-07	4.46241608e-01	5.53758279e-01	2.42030936e-01
37	1.81224000e+15	4.19500000e+08	1.64789873e-14	1.26079073e-07	4.20884336e-01	5.79115538e-01	2.50767599e-01
38	1.85803200e+15	4.30100000e+08	1.42054055e-14	1.43704916e-07	3.93451207e-01	6.06548649e-01	2.64608915e-01
