izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         4.720683e-08    1.080000e+12    9.488375e+01    1.559776e+02    2.490245e+01    6.406963e+01    1.378872e+02    2.123823e+02    2.787116e+02    3.088249e+02    2.883541e+02    2.435969e+02    1.749893e+02    1.385901e+02    1.280830e+02    1.150665e+02    8.881344e+01
1         5.209976e-07    2.226528e+12    9.392485e+01    1.544362e+02    2.464911e+01    6.341733e+01    1.365168e+02    2.103027e+02    2.760073e+02    3.058608e+02    2.856004e+02    2.412779e+02    1.733261e+02    1.372733e+02    1.268661e+02    1.139733e+02    8.796978e+01
2         7.531176e-05    1.190592e+13    9.260862e+01    1.523204e+02    2.430136e+01    6.252194e+01    1.346357e+02    2.074480e+02    2.722952e+02    3.017922e+02    2.818205e+02    2.380947e+02    1.710432e+02    1.354658e+02    1.251957e+02    1.124728e+02    8.681173e+01
3         2.241859e-04    2.257632e+13    8.237865e+01    1.358763e+02    2.159865e+01    5.556284e+01    1.200158e+02    1.852615e+02    2.434444e+02    2.701702e+02    2.524427e+02    2.133544e+02    1.532997e+02    1.214177e+02    1.122134e+02    1.008107e+02    7.781119e+01
4         6.187699e-04    3.322944e+13    7.854565e+01    1.297149e+02    2.058598e+01    5.295538e+01    1.145379e+02    1.769485e+02    2.326345e+02    2.583220e+02    2.414354e+02    2.040846e+02    1.466515e+02    1.161542e+02    1.073492e+02    9.644104e+01    7.443883e+01
5         1.078353e-03    4.256928e+13    7.459113e+01    1.233582e+02    1.954121e+01    5.026526e+01    1.088864e+02    1.683720e+02    2.214818e+02    2.460982e+02    2.300790e+02    1.945210e+02    1.397925e+02    1.107237e+02    1.023307e+02    9.193290e+01    7.095956e+01
6         2.659219e-03    5.488992e+13    7.207691e+01    1.193168e+02    1.887696e+01    4.855491e+01    1.052932e+02    1.629192e+02    2.143912e+02    2.383264e+02    2.228588e+02    1.884406e+02    1.354317e+02    1.072711e+02    9.914002e+01    8.906668e+01    6.874749e+01
7         4.488850e-03    6.859296e+13    6.684695e+01    1.109099e+02    1.749523e+01    4.499715e+01    9.781897e+01    1.515766e+02    1.996415e+02    2.221601e+02    2.078397e+02    1.757924e+02    1.263605e+02    1.000892e+02    9.250296e+01    8.310454e+01    6.414607e+01
8         8.964167e-03    8.726400e+13    6.307187e+01    1.048416e+02    1.649787e+01    4.242909e+01    9.242388e+01    1.433893e+02    1.889949e+02    2.104909e+02    1.969986e+02    1.666627e+02    1.198128e+02    9.490518e+01    8.771220e+01    7.880094e+01    6.082467e+01
9         1.784998e-02    1.062720e+14    5.727951e+01    9.553072e+01    1.496755e+01    3.848875e+01    8.414587e+01    1.308269e+02    1.726592e+02    1.925861e+02    1.803645e+02    1.526544e+02    1.097662e+02    8.695098e+01    8.036143e+01    7.219767e+01    5.572843e+01
10        2.799012e-02    1.370304e+14    4.980926e+01    8.352269e+01    1.299394e+01    3.340699e+01    7.346991e+01    1.146256e+02    1.515914e+02    1.694948e+02    1.589119e+02    1.345883e+02    9.680929e+01    7.669264e+01    7.088132e+01    6.368159e+01    4.915594e+01
11        3.573537e-02    1.488672e+14    4.442660e+01    7.487032e+01    1.157186e+01    2.974535e+01    6.577738e+01    1.029517e+02    1.364110e+02    1.528563e+02    1.434542e+02    1.215707e+02    8.747321e+01    6.930099e+01    6.405042e+01    5.754532e+01    4.442013e+01
12        4.388573e-02    1.663200e+14    4.143493e+01    7.006134e+01    1.078147e+01    2.771023e+01    6.150188e+01    9.646337e+01    1.279737e+02    1.436086e+02    1.348627e+02    1.143355e+02    8.228416e+01    6.519267e+01    6.025377e+01    5.413475e+01    4.178794e+01
13        4.961839e-02    1.739232e+14    3.884591e+01    6.589958e+01    1.009746e+01    2.594901e+01    5.780181e+01    9.084825e+01    1.206719e+02    1.356054e+02    1.274275e+02    1.080739e+02    7.779343e+01    6.163723e+01    5.696806e+01    5.118316e+01    3.950998e+01
14        5.603555e-02    1.853280e+14    3.728192e+01    6.338549e+01    9.684263e+00    2.488509e+01    5.556663e+01    8.745619e+01    1.162609e+02    1.307707e+02    1.229358e+02    1.042913e+02    7.508058e+01    5.948938e+01    5.498315e+01    4.940010e+01    3.813386e+01
15        6.230036e-02    1.907712e+14    3.571187e+01    6.086164e+01    9.269465e+00    2.381705e+01    5.332277e+01    8.405093e+01    1.118327e+02    1.259171e+02    1.184267e+02    1.004939e+02    7.235712e+01    5.733314e+01    5.299049e+01    4.761007e+01    3.675236e+01
16        6.878357e-02    2.020896e+14    3.431310e+01    5.861305e+01    8.899918e+00    2.286552e+01    5.132366e+01    8.101702e+01    1.078874e+02    1.215926e+02    1.144090e+02    9.711051e+01    6.993054e+01    5.541195e+01    5.121504e+01    4.601517e+01    3.552146e+01
17        7.543748e-02    2.068416e+14    3.298678e+01    5.648090e+01    8.549512e+00    2.196329e+01    4.942807e+01    7.814020e+01    1.041463e+02    1.174920e+02    1.105994e+02    9.390220e+01    6.762956e+01    5.359019e+01    4.953149e+01    4.450281e+01    3.435426e+01
18        8.230894e-02    2.179008e+14    3.173049e+01    5.446114e+01    8.217614e+00    2.110872e+01    4.763246e+01    7.541490e+01    1.006021e+02    1.136070e+02    1.069899e+02    9.086246e+01    6.544945e+01    5.186412e+01    4.793637e+01    4.306990e+01    3.324838e+01
19        8.879927e-02    2.230848e+14    3.052831e+01    5.252827e+01    7.900010e+00    2.029096e+01    4.591411e+01    7.280678e+01    9.721024e+01    1.098889e+02    1.035355e+02    8.795322e+01    6.336294e+01    5.021217e+01    4.640973e+01    4.169850e+01    3.218997e+01
