izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         4.720683e-08    7.560000e+12    1.936403e+00    3.183215e+00    5.082132e-01    1.307544e+00    2.814024e+00    4.334333e+00    5.687992e+00    6.302548e+00    5.884778e+00    4.971365e+00    3.571210e+00    2.828369e+00    2.613939e+00    2.348295e+00    1.812519e+00
1         5.209976e-07    1.558570e+13    1.916834e+00    3.151759e+00    5.030430e-01    1.294231e+00    2.786057e+00    4.291891e+00    5.632802e+00    6.242057e+00    5.828580e+00    4.924038e+00    3.537268e+00    2.801495e+00    2.589104e+00    2.325986e+00    1.795302e+00
2         7.531176e-05    8.334144e+13    1.889972e+00    3.108579e+00    4.959462e-01    1.275958e+00    2.747668e+00    4.233633e+00    5.557045e+00    6.159024e+00    5.751440e+00    4.859075e+00    3.490677e+00    2.764608e+00    2.555015e+00    2.295363e+00    1.771668e+00
3         2.241859e-04    1.580342e+14    1.681197e+00    2.772985e+00    4.407887e-01    1.133936e+00    2.449301e+00    3.780846e+00    4.968253e+00    5.513678e+00    5.151893e+00    4.354172e+00    3.128565e+00    2.477913e+00    2.290070e+00    2.057360e+00    1.587983e+00
4         6.187699e-04    2.326061e+14    1.602972e+00    2.647243e+00    4.201221e-01    1.080722e+00    2.337509e+00    3.611195e+00    4.747642e+00    5.271878e+00    4.927252e+00    4.164993e+00    2.992887e+00    2.370493e+00    2.190799e+00    1.968185e+00    1.519160e+00
5         1.078353e-03    2.979850e+14    1.522268e+00    2.517515e+00    3.988002e-01    1.025822e+00    2.222171e+00    3.436164e+00    4.520038e+00    5.022412e+00    4.695490e+00    3.969816e+00    2.852908e+00    2.259668e+00    2.088382e+00    1.876182e+00    1.448154e+00
6         2.659219e-03    3.842294e+14    1.470957e+00    2.435036e+00    3.852441e-01    9.909166e-01    2.148842e+00    3.324882e+00    4.375330e+00    4.863805e+00    4.548139e+00    3.845726e+00    2.763912e+00    2.189207e+00    2.023266e+00    1.817687e+00    1.403010e+00
7         4.488850e-03    4.801507e+14    1.364224e+00    2.263467e+00    3.570455e-01    9.183093e-01    1.996305e+00    3.093400e+00    4.074316e+00    4.533879e+00    4.241627e+00    3.587600e+00    2.578786e+00    2.042637e+00    1.887816e+00    1.696011e+00    1.309103e+00
8         8.964167e-03    6.108480e+14    1.287181e+00    2.139625e+00    3.366911e-01    8.658998e-01    1.886202e+00    2.926312e+00    3.857039e+00    4.295733e+00    4.020381e+00    3.401279e+00    2.445159e+00    1.936840e+00    1.790045e+00    1.608183e+00    1.241320e+00
9         1.784998e-02    7.439040e+14    1.168970e+00    1.949607e+00    3.054602e-01    7.854847e-01    1.717263e+00    2.669937e+00    3.523657e+00    3.930329e+00    3.680909e+00    3.115396e+00    2.240126e+00    1.774510e+00    1.640029e+00    1.473422e+00    1.137315e+00
10        2.799012e-02    9.592128e+14    1.016516e+00    1.704545e+00    2.651824e-01    6.817754e-01    1.499386e+00    2.339297e+00    3.093702e+00    3.459077e+00    3.243100e+00    2.746699e+00    1.975700e+00    1.565156e+00    1.446558e+00    1.299624e+00    1.003183e+00
11        3.573537e-02    1.042070e+15    9.066653e-01    1.527966e+00    2.361604e-01    6.070480e-01    1.342396e+00    2.101055e+00    2.783898e+00    3.119516e+00    2.927637e+00    2.481035e+00    1.785167e+00    1.414306e+00    1.307152e+00    1.174394e+00    9.065333e-01
12        4.388573e-02    1.164240e+15    8.456109e-01    1.429823e+00    2.200300e-01    5.655148e-01    1.255140e+00    1.968640e+00    2.611708e+00    2.930787e+00    2.752301e+00    2.333377e+00    1.679269e+00    1.330463e+00    1.229669e+00    1.104791e+00    8.528152e-01
13        4.961839e-02    1.217462e+15    7.927738e-01    1.344889e+00    2.060707e-01    5.295717e-01    1.179629e+00    1.854046e+00    2.462692e+00    2.767457e+00    2.600561e+00    2.205590e+00    1.587621e+00    1.257903e+00    1.162613e+00    1.044554e+00    8.063262e-01
14        5.603555e-02    1.297296e+15    7.608555e-01    1.293581e+00    1.976380e-01    5.078589e-01    1.134013e+00    1.784820e+00    2.372672e+00    2.668789e+00    2.508895e+00    2.128394e+00    1.532257e+00    1.214069e+00    1.122105e+00    1.008165e+00    7.782421e-01
15        6.230036e-02    1.335398e+15    7.288138e-01    1.242074e+00    1.891728e-01    4.860622e-01    1.088220e+00    1.715325e+00    2.282301e+00    2.569736e+00    2.416870e+00    2.050897e+00    1.476676e+00    1.170064e+00    1.081439e+00    9.716340e-01    7.500482e-01
16        6.878357e-02    1.414627e+15    7.002674e-01    1.196185e+00    1.816310e-01    4.666434e-01    1.047422e+00    1.653409e+00    2.201784e+00    2.481482e+00    2.334879e+00    1.981847e+00    1.427154e+00    1.130856e+00    1.045205e+00    9.390850e-01    7.249277e-01
17        7.543748e-02    1.447891e+15    6.731996e-01    1.152671e+00    1.744798e-01    4.482304e-01    1.008736e+00    1.594698e+00    2.125435e+00    2.397797e+00    2.257130e+00    1.916371e+00    1.380195e+00    1.093677e+00    1.010847e+00    9.082206e-01    7.011073e-01
18        8.230894e-02    1.525306e+15    6.475611e-01    1.111452e+00    1.677064e-01    4.307902e-01    9.720910e-01    1.539080e+00    2.053104e+00    2.318511e+00    2.183468e+00    1.854336e+00    1.335703e+00    1.058452e+00    9.782933e-01    8.789775e-01    6.785383e-01
19        8.879927e-02    1.561594e+15    6.230267e-01    1.072006e+00    1.612247e-01    4.141012e-01    9.370227e-01    1.485853e+00    1.983882e+00    2.242631e+00    2.112969e+00    1.794964e+00    1.293121e+00    1.024738e+00    9.471374e-01    8.509899e-01    6.569381e-01
20        9.550118e-02    1.628726e+15    6.015305e-01    1.037441e+00    1.555457e-01    3.994793e-01    9.062953e-01    1.439211e+00    1.923222e+00    2.176133e+00    2.051186e+00    1.742931e+00    1.255803e+00    9.951918e-01    9.198326e-01    8.264617e-01    6.380079e-01
21        1.046808e-01    1.669853e+15    5.808542e-01    1.004141e+00    1.500846e-01    3.854211e-01    8.767052e-01    1.394240e+00    1.864687e+00    2.111906e+00    1.991487e+00    1.692640e+00    1.219729e+00    9.666304e-01    8.934378e-01    8.027508e-01    6.197082e-01
22        1.138890e-01    1.752710e+15    5.544305e-01    9.615475e-01    1.431062e-01    3.674593e-01    8.388658e-01    1.336692e+00    1.789750e+00    2.029642e+00    1.915005e+00    1.628203e+00    1.173505e+00    9.300315e-01    8.596152e-01    7.723672e-01    5.962587e-01
23        1.231733e-01    1.802909e+15    5.299253e-01    9.219870e-01    1.366359e-01    3.508084e-01    8.037358e-01    1.283203e+00    1.720046e+00    1.953058e+00    1.843777e+00    1.568179e+00    1.130441e+00    8.959340e-01    8.281040e-01    7.440600e-01    5.744115e-01
24        1.326445e-01    1.876090e+15    5.075333e-01    8.855696e-01    1.307297e-01    3.356235e-01    7.714630e-01    1.233784e+00    1.655416e+00    1.881759e+00    1.777340e+00    1.512127e+00    1.090204e+00    8.640710e-01    7.986574e-01    7.176067e-01    5.539945e-01
25        1.448927e-01    1.936570e+15    4.863250e-01    8.510085e-01    1.251372e-01    3.212491e-01    7.408521e-01    1.186839e+00    1.593961e+00    1.813890e+00    1.714067e+00    1.458730e+00    1.051866e+00    8.337112e-01    7.705998e-01    6.924011e-01    5.345403e-01
26        1.572242e-01    2.014589e+15    4.609114e-01    8.095259e-01    1.184374e-01    3.040322e-01    7.041274e-01    1.130447e+00    1.520081e+00    1.732227e+00    1.637904e+00    1.394438e+00    1.005700e+00    7.971515e-01    7.368122e-01    6.620477e-01    5.111128e-01
27        1.697169e-01    2.101680e+15    4.377073e-01    7.713092e-01    1.123278e-01    2.883504e-01    6.703771e-01    1.078269e+00    1.451434e+00    1.655987e+00    1.566646e+00    1.334209e+00    9.624227e-01    7.628743e-01    7.051335e-01    6.335880e-01    4.891460e-01
28        1.823643e-01    2.148854e+15    4.166035e-01    7.362380e-01    1.067784e-01    2.741234e-01    6.394804e-01    1.030181e+00    1.387904e+00    1.585105e+00    1.500258e+00    1.278024e+00    9.220259e-01    7.308746e-01    6.755588e-01    6.070179e-01    4.686370e-01
29        1.907107e-01    2.232922e+15    3.970516e-01    7.034634e-01    1.016434e-01    2.609744e-01    6.106744e-01    9.850585e-01    1.328058e+00    1.518047e+00    1.437329e+00    1.224706e+00    8.836669e-01    7.004854e-01    6.474722e-01    5.817840e-01    4.491587e-01
30        1.993106e-01    2.257114e+15    3.851556e-01    6.833771e-01    9.852248e-02    2.529905e-01    5.930548e-01    9.573112e-01    1.291139e+00    1.476531e+00    1.398309e+00    1.191614e+00    8.598480e-01    6.816135e-01    6.300299e-01    5.661130e-01    4.370618e-01
31        2.077098e-01    2.323037e+15    3.736583e-01    6.638562e-01    9.550856e-02    2.452862e-01    5.759565e-01    9.302763e-01    1.255080e+00    1.435877e+00    1.360055e+00    1.159148e+00    8.364715e-01    6.630908e-01    6.129102e-01    5.507315e-01    4.251882e-01
