izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         4.720683e-08    6.480000e+12    2.635660e+00    4.332710e+00    6.917346e-01    1.779712e+00    3.830199e+00    5.899509e+00    7.741989e+00    8.578468e+00    8.009837e+00    6.766580e+00    4.860814e+00    3.849724e+00    3.557861e+00    3.196291e+00    2.467040e+00
1         5.209976e-07    1.335917e+13    2.609024e+00    4.289894e+00    6.846974e-01    1.761592e+00    3.792133e+00    5.841740e+00    7.666869e+00    8.496133e+00    7.933345e+00    6.702163e+00    4.814614e+00    3.813146e+00    3.524058e+00    3.165925e+00    2.443605e+00
2         7.531176e-05    7.143552e+13    2.572462e+00    4.231122e+00    6.750379e-01    1.736720e+00    3.739881e+00    5.762445e+00    7.563756e+00    8.383116e+00    7.828348e+00    6.613741e+00    4.751199e+00    3.762939e+00    3.477659e+00    3.124245e+00    2.411437e+00
3         2.241859e-04    1.354579e+14    2.288296e+00    3.774341e+00    5.999624e-01    1.543412e+00    3.333771e+00    5.146152e+00    6.762344e+00    7.504729e+00    7.012298e+00    5.926511e+00    4.258324e+00    3.372715e+00    3.117040e+00    2.800296e+00    2.161422e+00
4         6.187699e-04    1.993766e+14    2.181824e+00    3.603192e+00    5.718328e-01    1.470983e+00    3.181609e+00    4.915237e+00    6.462069e+00    7.175612e+00    6.706538e+00    5.669018e+00    4.073652e+00    3.226505e+00    2.981921e+00    2.678918e+00    2.067745e+00
5         1.078353e-03    2.554157e+14    2.071976e+00    3.426618e+00    5.428114e-01    1.396257e+00    3.024622e+00    4.677001e+00    6.152273e+00    6.836061e+00    6.391083e+00    5.403361e+00    3.883125e+00    3.075659e+00    2.842519e+00    2.553692e+00    1.971099e+00
6         2.659219e-03    3.293395e+14    2.002136e+00    3.314354e+00    5.243601e-01    1.348748e+00    2.924812e+00    4.525534e+00    5.955310e+00    6.620179e+00    6.190522e+00    5.234460e+00    3.761991e+00    2.979754e+00    2.753890e+00    2.474074e+00    1.909653e+00
7         4.488850e-03    4.115578e+14    1.856860e+00    3.080830e+00    4.859786e-01    1.249921e+00    2.717194e+00    4.210461e+00    5.545597e+00    6.171114e+00    5.773326e+00    4.883122e+00    3.510014e+00    2.780256e+00    2.569527e+00    2.308459e+00    1.781835e+00
8         8.964167e-03    5.235840e+14    1.751996e+00    2.912267e+00    4.582740e-01    1.178586e+00    2.567330e+00    3.983035e+00    5.249859e+00    5.846969e+00    5.472185e+00    4.629519e+00    3.328133e+00    2.636255e+00    2.436450e+00    2.188915e+00    1.689574e+00
9         1.784998e-02    6.376320e+14    1.591098e+00    2.653631e+00    4.157652e-01    1.069132e+00    2.337385e+00    3.634081e+00    4.796088e+00    5.349614e+00    5.010126e+00    4.240400e+00    3.049060e+00    2.415305e+00    2.232262e+00    2.005491e+00    1.548012e+00
10        2.799012e-02    8.221824e+14    1.383591e+00    2.320075e+00    3.609427e-01    9.279720e-01    2.040831e+00    3.184044e+00    4.210872e+00    4.708188e+00    4.414219e+00    3.738563e+00    2.689147e+00    2.130351e+00    1.968926e+00    1.768933e+00    1.365443e+00
11        3.573537e-02    8.932032e+14    1.234072e+00    2.079731e+00    3.214405e-01    8.262598e-01    1.827150e+00    2.859770e+00    3.789195e+00    4.246008e+00    3.984839e+00    3.376964e+00    2.429811e+00    1.925028e+00    1.779178e+00    1.598481e+00    1.233893e+00
12        4.388573e-02    9.979200e+14    1.150970e+00    1.946148e+00    2.994853e-01    7.697285e-01    1.708386e+00    2.679538e+00    3.554825e+00    3.989127e+00    3.746187e+00    3.175985e+00    2.285671e+00    1.810908e+00    1.673716e+00    1.503743e+00    1.160776e+00
13        4.961839e-02    1.043539e+15    1.079053e+00    1.830544e+00    2.804851e-01    7.208059e-01    1.605606e+00    2.523563e+00    3.351998e+00    3.766816e+00    3.539652e+00    3.002054e+00    2.160929e+00    1.712145e+00    1.582446e+00    1.421754e+00    1.097499e+00
14        5.603555e-02    1.111968e+15    1.035609e+00    1.760708e+00    2.690073e-01    6.912524e-01    1.543517e+00    2.429339e+00    3.229470e+00    3.632518e+00    3.414884e+00    2.896981e+00    2.085572e+00    1.652483e+00    1.527310e+00    1.372225e+00    1.059274e+00
15        6.230036e-02    1.144627e+15    9.919965e-01    1.690601e+00    2.574851e-01    6.615846e-01    1.481188e+00    2.334748e+00    3.106465e+00    3.497696e+00    3.289629e+00    2.791498e+00    2.009920e+00    1.592587e+00    1.471958e+00    1.322502e+00    1.020899e+00
16        6.878357e-02    1.212538e+15    9.531417e-01    1.628140e+00    2.472199e-01    6.351535e-01    1.425657e+00    2.250473e+00    2.996872e+00    3.377573e+00    3.178029e+00    2.697514e+00    1.942515e+00    1.539221e+00    1.422640e+00    1.278199e+00    9.867071e-01
17        7.543748e-02    1.241050e+15    9.162995e-01    1.568914e+00    2.374865e-01    6.100914e-01    1.373002e+00    2.170561e+00    2.892953e+00    3.263668e+00    3.072205e+00    2.608394e+00    1.878599e+00    1.488616e+00    1.375875e+00    1.236189e+00    9.542850e-01
18        8.230894e-02    1.307405e+15    8.814026e-01    1.512809e+00    2.282670e-01    5.863533e-01    1.323124e+00    2.094858e+00    2.794503e+00    3.155751e+00    2.971943e+00    2.523957e+00    1.818040e+00    1.440670e+00    1.331566e+00    1.196386e+00    9.235660e-01
19        8.879927e-02    1.338509e+15    8.480085e-01    1.459119e+00    2.194447e-01    5.636377e-01    1.275392e+00    2.022411e+00    2.700284e+00    3.052470e+00    2.875986e+00    2.443145e+00    1.760082e+00    1.394782e+00    1.289159e+00    1.158292e+00    8.941658e-01
20        9.550118e-02    1.396051e+15    8.187499e-01    1.412073e+00    2.117150e-01    5.437357e-01    1.233569e+00    1.958927e+00    2.617719e+00    2.961959e+00    2.791892e+00    2.372323e+00    1.709287e+00    1.354567e+00    1.251994e+00    1.124906e+00    8.683996e-01
21        1.046808e-01    1.431302e+15    7.906072e-01    1.366748e+00    2.042818e-01    5.246010e-01    1.193293e+00    1.897715e+00    2.538046e+00    2.874539e+00    2.710634e+00    2.303872e+00    1.660187e+00    1.315691e+00    1.216068e+00    1.092633e+00    8.434918e-01
22        1.138890e-01    1.502323e+15    7.546415e-01    1.308773e+00    1.947835e-01    5.001530e-01    1.141790e+00    1.819386e+00    2.436048e+00    2.762568e+00    2.606534e+00    2.216165e+00    1.597270e+00    1.265876e+00    1.170032e+00    1.051278e+00    8.115744e-01
23        1.231733e-01    1.545350e+15    7.212872e-01    1.254927e+00    1.859767e-01    4.774892e-01    1.093974e+00    1.746582e+00    2.341174e+00    2.658330e+00    2.509585e+00    2.134465e+00    1.538655e+00    1.219466e+00    1.127142e+00    1.012748e+00    7.818379e-01
24        1.326445e-01    1.608077e+15    6.908092e-01    1.205359e+00    1.779376e-01    4.568209e-01    1.050047e+00    1.679317e+00    2.253205e+00    2.561283e+00    2.419157e+00    2.058173e+00    1.483888e+00    1.176097e+00    1.087061e+00    9.767425e-01    7.540480e-01
25        1.448927e-01    1.659917e+15    6.619424e-01    1.158317e+00    1.703256e-01    4.372558e-01    1.008382e+00    1.615419e+00    2.169558e+00    2.468906e+00    2.333036e+00    1.985494e+00    1.431706e+00    1.134774e+00    1.048872e+00    9.424348e-01    7.275687e-01
26        1.572242e-01    1.726790e+15    6.273516e-01    1.101855e+00    1.612064e-01    4.138215e-01    9.583957e-01    1.538663e+00    2.069000e+00    2.357753e+00    2.229369e+00    1.897985e+00    1.368870e+00    1.085012e+00    1.002883e+00    9.011205e-01    6.956812e-01
27        1.697169e-01    1.801440e+15    5.957683e-01    1.049838e+00    1.528906e-01    3.924770e-01    9.124578e-01    1.467644e+00    1.975563e+00    2.253983e+00    2.132380e+00    1.816006e+00    1.309964e+00    1.038357e+00    9.597650e-01    8.623837e-01    6.657821e-01
28        1.823643e-01    1.841875e+15    5.670436e-01    1.002102e+00    1.453372e-01    3.731124e-01    8.704038e-01    1.402191e+00    1.889091e+00    2.157504e+00    2.042018e+00    1.739533e+00    1.254980e+00    9.948015e-01    9.195107e-01    8.262189e-01    6.378671e-01
29        1.907107e-01    1.913933e+15    5.404313e-01    9.574919e-01    1.383480e-01    3.552151e-01    8.311958e-01    1.340774e+00    1.807635e+00    2.066230e+00    1.956365e+00    1.666960e+00    1.202769e+00    9.534384e-01    8.812816e-01    7.918727e-01    6.113549e-01
30        1.993106e-01    1.934669e+15    5.242396e-01    9.301522e-01    1.341000e-01    3.443481e-01    8.072135e-01    1.303007e+00    1.757383e+00    2.009723e+00    1.903254e+00    1.621918e+00    1.170349e+00    9.277517e-01    8.575407e-01    7.705427e-01    5.948897e-01
31        2.077098e-01    1.991174e+15    5.085904e-01    9.035821e-01    1.299978e-01    3.338618e-01    7.839408e-01    1.266209e+00    1.708303e+00    1.954389e+00    1.851185e+00    1.577729e+00    1.138531e+00    9.025402e-01    8.342389e-01    7.496068e-01    5.787284e-01
32        2.161876e-01    2.017613e+15    4.941058e-01    8.788642e-01    1.262036e-01    3.241698e-01    7.623198e-01    1.231898e+00    1.662439e+00    1.902557e+00    1.802362e+00    1.536268e+00    1.108668e+00    8.788765e-01    8.123672e-01    7.299556e-01    5.635585e-01
33        2.247936e-01    2.065306e+15    4.802725e-01    8.551400e-01    1.225827e-01    3.149269e-01    7.415953e-01    1.198891e+00    1.618225e+00    1.852477e+00    1.755140e+00    1.496142e+00    1.079758e+00    8.559666e-01    7.911921e-01    7.109301e-01    5.488714e-01
34        2.333907e-01    2.093299e+15    4.669065e-01    8.321091e-01    1.190866e-01    3.060084e-01    7.215017e-01    1.166781e+00    1.575126e+00    1.803556e+00    1.708968e+00    1.456888e+00    1.051468e+00    8.335462e-01    7.704693e-01    6.923106e-01    5.344975e-01
35        2.420309e-01    2.143584e+15    4.541960e-01    8.101047e-01    1.157643e-01    2.975389e-01    7.023273e-01    1.136037e+00    1.533782e+00    1.756528e+00    1.664542e+00    1.419096e+00    1.024225e+00    8.119547e-01    7.505124e-01    6.743791e-01    5.206545e-01
36        2.507676e-01    2.174688e+15    4.420344e-01    7.889567e-01    1.125876e-01    2.894457e-01    6.839207e-01    1.106432e+00    1.493894e+00    1.711068e+00    1.621562e+00    1.382516e+00    9.978481e-01    7.910486e-01    7.311889e-01    6.570166e-01    5.072505e-01
37        2.646089e-01    2.229638e+15    4.303315e-01    7.685172e-01    1.095328e-01    2.816678e-01    6.661513e-01    1.077763e+00    1.455200e+00    1.666886e+00    1.579754e+00    1.346917e+00    9.721720e-01    7.706968e-01    7.123775e-01    6.401140e-01    4.942014e-01
