izn            tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
0         5.119274e-01    8.511426e-01    1.314917e-01    3.419292e-01    7.521612e-01    1.153601e+00    1.507855e+00    1.668366e+00    1.557064e+00    1.315581e+00    9.452057e-01    7.486252e-01    6.918711e-01    6.215651e-01    4.797598e-01
1         2.263021e-01    3.878476e-01    5.854566e-02    1.505357e-01    3.394081e-01    5.363772e-01    7.146658e-01    8.061605e-01    7.588432e-01    6.442895e-01    4.640316e-01    3.677034e-01    3.398552e-01    3.053517e-01    2.357187e-01
2         1.604706e-01    2.813397e-01    4.121734e-02    1.058790e-01    2.448477e-01    3.924283e-01    5.271428e-01    6.001122e-01    5.671913e-01    4.827649e-01    3.481395e-01    2.759403e-01    2.550524e-01    2.291710e-01    1.769230e-01
3         1.233891e-01    2.194000e-01    3.147529e-02    8.091790e-02    1.903548e-01    3.073016e-01    4.144283e-01    4.740401e-01    4.489789e-01    3.826538e-01    2.761341e-01    2.188983e-01    2.023328e-01    1.818065e-01    1.403625e-01
4         9.951840e-02    1.778540e-01    2.524133e-02    6.503720e-02    1.542026e-01    2.491197e-01    3.360131e-01    3.846385e-01    3.644384e-01    3.106958e-01    2.242448e-01    1.777707e-01    1.643184e-01    1.476498e-01    1.139932e-01
5         8.245075e-02    1.473077e-01    2.080295e-02    5.377684e-02    1.278142e-01    2.058203e-01    2.770049e-01    3.165763e-01    2.997523e-01    2.554731e-01    1.843635e-01    1.461511e-01    1.350909e-01    1.213865e-01    9.371611e-02
6         6.939516e-02    1.235272e-01    1.741906e-02    4.521184e-02    1.073615e-01    1.718694e-01    2.304377e-01    2.625032e-01    2.482139e-01    2.114000e-01    1.525072e-01    1.208897e-01    1.117399e-01    1.004030e-01    7.751460e-02
7         5.891495e-02    1.042557e-01    1.472012e-02    3.837027e-02    9.081615e-02    1.443067e-01    1.925681e-01    2.184276e-01    2.061615e-01    1.754147e-01    1.264876e-01    1.002551e-01    9.266560e-02    8.326234e-02    6.427988e-02
8         5.032190e-02    8.837114e-02    1.251802e-02    3.277905e-02    7.718969e-02    1.215782e-01    1.613258e-01    1.820309e-01    1.714206e-01    1.456765e-01    1.049813e-01    8.319923e-02    7.689934e-02    6.909423e-02    5.334023e-02
9         4.312923e-02    7.503444e-02    1.068046e-02    2.810838e-02    6.575403e-02    1.024923e-01    1.350854e-01    1.514460e-01    1.422204e-01    1.206769e-01    8.690025e-02    6.885947e-02    6.364377e-02    5.718228e-02    4.414258e-02
10        3.706154e-02    6.376496e-02    9.133720e-03    2.417335e-02    5.609265e-02    8.636690e-02    1.129168e-01    1.256035e-01    1.175460e-01    9.955043e-02    7.161979e-02    5.674070e-02    5.244127e-02    4.711527e-02    3.636944e-02
11        3.188119e-02    5.414918e-02    7.821759e-03    2.082192e-02    4.784099e-02    7.264941e-02    9.410672e-02    1.037162e-01    9.666330e-02    8.167621e-02    5.869345e-02    4.648923e-02    4.296492e-02    3.859949e-02    2.979412e-02
12        2.752739e-02    4.607051e-02    6.704368e-03    1.799010e-02    4.091920e-02    6.106175e-02    7.814461e-02    8.508527e-02    7.886586e-02    6.643516e-02    4.766905e-02    3.774579e-02    3.488253e-02    3.133632e-02    2.418593e-02
13        2.331009e-02    3.860394e-02    5.606699e-03    1.519948e-02    3.445025e-02    5.053066e-02    6.385770e-02    6.868204e-02    6.330711e-02    5.316792e-02    3.809313e-02    3.015448e-02    2.786564e-02    2.503124e-02    1.931811e-02
14        1.884763e-02    3.123539e-02    4.432832e-03    1.218647e-02    2.794693e-02    4.046079e-02    5.059686e-02    5.393795e-02    4.951931e-02    4.151020e-02    2.971515e-02    2.351862e-02    2.173278e-02    1.952154e-02    1.506538e-02
15        1.472402e-02    2.457355e-02    3.344566e-03    9.385492e-03    2.203203e-02    3.145204e-02    3.885539e-02    4.103442e-02    3.751673e-02    3.139464e-02    2.245752e-02    1.777207e-02    1.642212e-02    1.475083e-02    1.138339e-02
16        1.113192e-02    1.878679e-02    2.401118e-03    6.948651e-03    1.688623e-02    2.365929e-02    2.873943e-02    2.995863e-02    2.723141e-02    2.273412e-02    1.624654e-02    1.285470e-02    1.187780e-02    1.066863e-02    8.232854e-03
17        7.803508e-03    1.330028e-02    1.604165e-03    4.779687e-03    1.198034e-02    1.651448e-02    1.975780e-02    2.034954e-02    1.839600e-02    1.532376e-02    1.094078e-02    8.655214e-03    7.997165e-03    7.182811e-03    5.542732e-03
18        4.594843e-03    7.866532e-03    9.233417e-04    2.789839e-03    7.092647e-03    9.705016e-03    1.152939e-02    1.180722e-02    1.064573e-02    8.858326e-03    6.321805e-03    5.000761e-03    4.620475e-03    4.149906e-03    3.202297e-03
19        1.657260e-03    2.848816e-03    3.260573e-04    9.981758e-04    2.570784e-03    3.494145e-03    4.124112e-03    4.201125e-03    3.778516e-03    3.140931e-03    2.240605e-03    1.772261e-03    1.637461e-03    1.470673e-03    1.134838e-03
