3.5330E+07 1.2500E+06 5.0830E+02 0.0000E+00 2.6359E-11 2.4777E-15 0.0000E+00 3.1140E-15 0.0000E+00 2.3745E-14 7.0528E-09 4.9524E-08 2.4915E-08 1.2448E-10 0.0000E+00 1.9083E-01 1.7147E-01 5.9183E-11 0.0000E+00 2.0666E-14 5.3058E-06 1.1741E-02 0.0000E+00 0.0000E+00 4.0004E-01 0.0000E+00 8.3008E-15 1.5253E-11 1.3982E-09 1.7903E-12 1.1175E-15 0.0000E+00
7.8660E+07 2.5770E+06 5.0830E+02 0.0000E+00 7.5169E-11 3.6558E-15 0.0000E+00 7.1459E-15 0.0000E+00 9.5378E-15 4.2517E-09 4.2669E-08 3.0166E-08 2.6432E-10 0.0000E+00 1.5281E-01 3.2424E-01 4.3341E-10 0.0000E+00 2.4799E-13 1.9355E-05 1.4472E-02 0.0000E+00 0.0000E+00 3.1655E-01 0.0000E+00 5.6077E-15 1.6899E-11 8.2937E-10 4.2485E-12 3.3199E-15 0.0000E+00
4.2210E+08 1.3780E+07 4.7530E+02 0.0000E+00 4.7670E-11 3.3332E-15 0.0000E+00 5.4409E-15 0.0000E+00 1.5167E-14 5.6853E-09 4.8969E-08 2.9931E-08 2.0724E-10 0.0000E+00 1.6834E-01 2.5826E-01 1.9506E-10 0.0000E+00 9.0060E-14 1.1767E-05 1.3610E-02 0.0000E+00 0.0000E+00 3.5357E-01 0.0000E+00 7.2673E-15 1.7630E-11 1.0940E-09 3.1942E-12 2.2204E-15 0.0000E+00
6.2200E+08 2.6130E+07 4.2730E+02 0.0000E+00 5.3195E-11 3.4336E-15 0.0000E+00 5.8860E-15 0.0000E+00 1.3458E-14 5.2898E-09 4.7446E-08 3.0152E-08 2.2221E-10 0.0000E+00 1.6418E-01 2.7545E-01 2.4457E-10 0.0000E+00 1.1955E-13 1.3485E-05 1.3876E-02 0.0000E+00 0.0000E+00 3.4406E-01 0.0000E+00 6.8154E-15 1.7528E-11 1.0203E-09 3.4654E-12 2.4893E-15 0.0000E+00
8.7430E+08 3.8460E+07 4.3810E+02 0.0000E+00 6.0666E-11 3.5359E-15 0.0000E+00 6.3563E-15 0.0000E+00 1.2021E-14 4.9350E-09 4.6059E-08 3.0368E-08 2.3768E-10 0.0000E+00 1.6009E-01 2.9293E-01 2.9969E-10 0.0000E+00 1.5540E-13 1.5405E-05 1.4121E-02 0.0000E+00 0.0000E+00 3.3418E-01 0.0000E+00 6.4270E-15 1.7465E-11 9.5372E-10 3.7532E-12 2.7677E-15 0.0000E+00
1.0650E+09 4.9270E+07 4.0440E+02 0.0000E+00 5.1673E-11 3.4283E-15 0.0000E+00 5.7704E-15 0.0000E+00 1.4221E-14 5.4685E-09 4.8308E-08 3.0243E-08 2.1805E-10 0.0000E+00 1.6571E-01 2.6938E-01 2.2665E-10 0.0000E+00 1.0990E-13 1.2885E-05 1.3806E-02 0.0000E+00 0.0000E+00 3.4724E-01 0.0000E+00 7.0627E-15 1.7718E-11 1.0532E-09 3.3885E-12 2.4110E-15 0.0000E+00
1.4450E+09 6.3530E+07 4.1490E+02 0.0000E+00 3.1786E-10 4.7981E-15 0.0000E+00 1.6076E-14 0.0000E+00 1.2199E-15 9.7651E-10 1.7019E-08 2.0460E-08 4.2451E-10 0.0000E+00 1.0540E-01 5.3755E-01 4.6068E-09 0.0000E+00 5.3692E-12 8.0231E-05 1.4185E-02 0.0000E+00 0.0000E+00 1.9288E-01 0.0000E+00 1.3160E-15 9.0384E-12 2.2736E-10 7.4278E-12 9.6945E-15 0.0000E+00
1.7360E+09 7.9390E+07 3.9230E+02 0.0000E+00 3.0087E-10 4.7764E-15 0.0000E+00 1.6093E-14 0.0000E+00 1.2694E-15 1.0058E-09 1.7518E-08 2.1105E-08 4.4275E-10 0.0000E+00 1.0518E-01 5.4116E-01 4.8117E-09 0.0000E+00 5.6361E-12 8.2394E-05 1.4126E-02 0.0000E+00 0.0000E+00 1.8964E-01 0.0000E+00 1.3765E-15 9.4545E-12 2.3142E-10 7.8071E-12 1.0225E-14 0.0000E+00
2.2070E+09 1.0100E+08 3.8510E+02 0.0000E+00 5.2993E-10 6.0480E-15 0.0000E+00 2.3600E-14 0.0000E+00 0.0000E+00 5.4259E-10 1.1479E-08 1.6700E-08 4.6543E-10 0.0000E+00 9.1815E-02 5.9669E-01 9.5541E-09 0.0000E+00 1.4258E-11 1.2240E-04 1.3184E-02 0.0000E+00 0.0000E+00 1.5770E-01 0.0000E+00 0.0000E+00 6.7246E-12 1.3788E-10 8.4245E-12 1.3224E-14 0.0000E+00
2.8170E+09 1.2300E+08 3.6360E+02 0.0000E+00 3.3809E-09 2.3961E-14 0.0000E+00 1.2207E-13 0.0000E+00 2.1637E-15 9.2729E-10 1.1672E-08 4.6069E-08 8.5761E-09 4.5415E-12 3.5164E-02 7.6238E-01 1.9530E-05 0.0000E+00 1.1414E-06 5.9273E-03 9.0258E-04 0.0000E+00 0.0000E+00 4.6861E-02 0.0000E+00 0.0000E+00 3.8643E-11 1.9583E-10 8.9545E-10 6.8780E-13 0.0000E+00
