1.000000e+00 1.046613e+00 0.000000e+00
1.046613e+00 1.095399e+00 0.000000e+00
1.095399e+00 1.146458e+00 0.000000e+00
1.146458e+00 1.199898e+00 0.000000e+00
1.199898e+00 1.255829e+00 0.000000e+00
1.255829e+00 1.314367e+00 0.000000e+00
1.314367e+00 1.375633e+00 0.000000e+00
1.375633e+00 1.439756e+00 0.000000e+00
1.439756e+00 1.506867e+00 0.000000e+00
1.506867e+00 1.577106e+00 0.000000e+00
1.577106e+00 1.650620e+00 0.000000e+00
1.650620e+00 1.727560e+00 0.000000e+00
1.727560e+00 1.808087e+00 0.000000e+00
1.808087e+00 1.892367e+00 0.000000e+00
1.892367e+00 1.980576e+00 0.000000e+00
1.980576e+00 2.072896e+00 0.000000e+00
2.072896e+00 2.169520e+00 0.000000e+00
2.169520e+00 2.270648e+00 0.000000e+00
2.270648e+00 2.376489e+00 0.000000e+00
2.376489e+00 2.487264e+00 0.000000e+00
2.487264e+00 2.603203e+00 0.000000e+00
2.603203e+00 2.724546e+00 0.000000e+00
2.724546e+00 2.851545e+00 0.000000e+00
2.851545e+00 2.984464e+00 0.000000e+00
2.984464e+00 3.123578e+00 0.000000e+00
3.123578e+00 3.269178e+00 0.000000e+00
3.269178e+00 3.421563e+00 6.562285e+00
3.421563e+00 3.581053e+00 0.000000e+00
3.581053e+00 3.747976e+00 5.990773e+00
3.747976e+00 3.922680e+00 0.000000e+00
3.922680e+00 4.105528e+00 0.000000e+00
4.105528e+00 4.296898e+00 0.000000e+00
4.296898e+00 4.497189e+00 0.000000e+00
4.497189e+00 4.706817e+00 0.000000e+00
4.706817e+00 4.926215e+00 4.557916e+00
4.926215e+00 5.155840e+00 0.000000e+00
5.155840e+00 5.396169e+00 4.160966e+00
5.396169e+00 5.647701e+00 3.975649e+00
5.647701e+00 5.910956e+00 7.597171e+00
5.910956e+00 6.186483e+00 3.629408e+00
6.186483e+00 6.474854e+00 3.467766e+00
6.474854e+00 6.776665e+00 6.626644e+00
6.776665e+00 7.092546e+00 0.000000e+00
7.092546e+00 7.423150e+00 9.074291e+00
7.423150e+00 7.769165e+00 2.890050e+00
7.769165e+00 8.131308e+00 8.284008e+00
8.131308e+00 8.510332e+00 5.276709e+00
8.510332e+00 8.907024e+00 5.041701e+00
8.907024e+00 9.322206e+00 1.445148e+01
9.322206e+00 9.756742e+00 2.301309e+00
9.756742e+00 1.021153e+01 6.596446e+00
1.021153e+01 1.068752e+01 6.302661e+00
1.068752e+01 1.118570e+01 8.029279e+00
1.118570e+01 1.170710e+01 1.534336e+01
1.170710e+01 1.225280e+01 1.099501e+01
1.225280e+01 1.282394e+01 1.400710e+01
1.282394e+01 1.342170e+01 8.364543e+00
1.342170e+01 1.404732e+01 1.118882e+01
1.404732e+01 1.470211e+01 1.832657e+01
1.470211e+01 1.538742e+01 1.313277e+01
1.538742e+01 1.610467e+01 2.230734e+01
1.610467e+01 1.685536e+01 1.598538e+01
1.685536e+01 1.764104e+01 2.036459e+01
1.764104e+01 1.846334e+01 1.702541e+01
1.846334e+01 1.932397e+01 1.394327e+01
1.932397e+01 2.022471e+01 2.331399e+01
2.022471e+01 2.116745e+01 1.909342e+01
2.116745e+01 2.215412e+01 1.317554e+01
2.215412e+01 2.318679e+01 1.936730e+01
2.318679e+01 2.426760e+01 1.850474e+01
2.426760e+01 2.539878e+01 2.740492e+01
2.539878e+01 2.658269e+01 1.773781e+01
2.658269e+01 2.782179e+01 2.017598e+01
2.782179e+01 2.911864e+01 1.773521e+01
2.911864e+01 3.047595e+01 2.357613e+01
3.047595e+01 3.189652e+01 2.393400e+01
3.189652e+01 3.338331e+01 1.681474e+01
3.338331e+01 3.493941e+01 2.249221e+01
3.493941e+01 3.656803e+01 2.640259e+01
3.656803e+01 3.827258e+01 2.698670e+01
3.827258e+01 4.005657e+01 3.082965e+01
4.005657e+01 4.192373e+01 2.731429e+01
4.192373e+01 4.387792e+01 3.735567e+01
4.387792e+01 4.592319e+01 4.107021e+01
